Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	characteristics[time]	characteristics[treatment]	Characteristics[biological replicate]	Characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[treatment]	factor value[time]	factor value[enrichment process]
Sample 51	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	8	enrichment of phosphorylated Protein	whole organism	run 93	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_30min_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_30min_C2.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 52	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	9	enrichment of phosphorylated Protein	whole organism	run 94	proteomic profiling by mass spectrometry	OR8_121126_EDG_PG_phosJurkat_30min_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR8_121126_EDG_PG_phosJurkat_30min_C3.raw	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 44	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	1	enrichment of phosphorylated Protein	whole organism	run 95	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_30min_A1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_30min_A1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 45	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	2	enrichment of phosphorylated Protein	whole organism	run 96	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_30min_A2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_30min_A2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 46	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	3	enrichment of phosphorylated Protein	whole organism	run 97	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_30min_A3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_30min_A3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 47	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	4	enrichment of phosphorylated Protein	whole organism	run 98	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_30min_B1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_30min_B1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 48	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	5	enrichment of phosphorylated Protein	whole organism	run 99	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_30min_B2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_30min_B2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 49	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	6	enrichment of phosphorylated Protein	whole organism	run 100	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_30min_B3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_30min_B3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 50	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	7	enrichment of phosphorylated Protein	whole organism	run 101	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_30min_C1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_30min_C1.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 51	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	8	enrichment of phosphorylated Protein	whole organism	run 102	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_30min_C2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_30min_C2.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
Sample 52	Homo sapiens	Jurkat T Cell	not available	not available	not available	not available	not available	not available	30	PGE2	9	enrichment of phosphorylated Protein	whole organism	run 103	proteomic profiling by mass spectrometry	OR9_20121214_EDG_PG_phosJurkat_30min_C3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000293/OR9_20121214_EDG_PG_phosJurkat_30min_C3.raw	2	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001313;NT=Trypsin	20 ppm	0.6 Da	PGE2	30	enrichment of phosphorylated Protein
