Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[metastasis site]	Sample Characteristic Ontology Term[metastasis site]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ERR975443	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MOG-G-CCM		brain	http://purl.obolibrary.org/obo/UBERON_0000955	anaplastic astrocytoma	http://www.ebi.ac.uk/efo/EFO_0002499	not available				MOG-G-CCM		brain	http://purl.obolibrary.org/obo/UBERON_0000955	anaplastic astrocytoma	http://www.ebi.ac.uk/efo/EFO_0002499	Yes
ERR975444	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MOG-G-UVW		brain	http://purl.obolibrary.org/obo/UBERON_0000955	anaplastic astrocytoma	http://www.ebi.ac.uk/efo/EFO_0002499	not available				MOG-G-UVW		brain	http://purl.obolibrary.org/obo/UBERON_0000955	anaplastic astrocytoma	http://www.ebi.ac.uk/efo/EFO_0002499	Yes
ERR975445	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MOLT-4	http://www.ebi.ac.uk/efo/EFO_0001220	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	male	http://purl.obolibrary.org/obo/PATO_0000384			MOLT-4	http://www.ebi.ac.uk/efo/EFO_0001220	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	Yes
ERR975446	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	Mo-T		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	hairy cell leukemia	http://www.ebi.ac.uk/efo/EFO_1000956	male	http://purl.obolibrary.org/obo/PATO_0000384			Mo-T		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	hairy cell leukemia	http://www.ebi.ac.uk/efo/EFO_1000956	Yes
ERR975447	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MS751	http://www.ebi.ac.uk/efo/EFO_0006456	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	female	http://purl.obolibrary.org/obo/PATO_0000383	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	MS751	http://www.ebi.ac.uk/efo/EFO_0006456	uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	Yes
ERR975448	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MY-M12		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute leukemia	http://www.ebi.ac.uk/efo/EFO_1000068	female	http://purl.obolibrary.org/obo/PATO_0000383			MY-M12		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute leukemia	http://www.ebi.ac.uk/efo/EFO_1000068	Yes
ERR975449	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	MZ1-PC		pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	not available				MZ1-PC		pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
ERR975450	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NB-TU-1-10		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	adrenal gland neuroblastoma	http://www.ebi.ac.uk/efo/EFO_1000075	female	http://purl.obolibrary.org/obo/PATO_0000383			NB-TU-1-10		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	adrenal gland neuroblastoma	http://www.ebi.ac.uk/efo/EFO_1000075	Yes
ERR975451	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NB10		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	male	http://purl.obolibrary.org/obo/PATO_0000384			NB10		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
ERR975452	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NB12		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	female	http://purl.obolibrary.org/obo/PATO_0000383			NB12		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
ERR975453	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NB13		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	male	http://purl.obolibrary.org/obo/PATO_0000384			NB13		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
ERR975454	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NB14		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	female	http://purl.obolibrary.org/obo/PATO_0000383			NB14		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
ERR975455	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NB17		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	female	http://purl.obolibrary.org/obo/PATO_0000383			NB17		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
ERR975456	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NB5		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	female	http://purl.obolibrary.org/obo/PATO_0000383			NB5		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
ERR975457	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NB6		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	male	http://purl.obolibrary.org/obo/PATO_0000384			NB6		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
ERR975458	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NB69		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	male	http://purl.obolibrary.org/obo/PATO_0000384			NB69		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
ERR975459	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NB7		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	male	http://purl.obolibrary.org/obo/PATO_0000384			NB7		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	neuroblastoma	http://www.ebi.ac.uk/efo/EFO_0000621	Yes
ERR975460	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCCIT		testis	http://purl.obolibrary.org/obo/UBERON_0000473	testicular germ cell tumor	http://www.ebi.ac.uk/efo/EFO_1000566	male	http://purl.obolibrary.org/obo/PATO_0000384			NCCIT		testis	http://purl.obolibrary.org/obo/UBERON_0000473	testicular germ cell tumor	http://www.ebi.ac.uk/efo/EFO_1000566	Yes
ERR975461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-SNU-1		stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	male	http://purl.obolibrary.org/obo/PATO_0000384			NCI-SNU-1		stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
ERR975462	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NCI-SNU-16		stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	female	http://purl.obolibrary.org/obo/PATO_0000383	peritoneum	http://purl.obolibrary.org/obo/UBERON_0002358	NCI-SNU-16		stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
ERR975463	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NEC8		testis	http://purl.obolibrary.org/obo/UBERON_0000473	testicular germ cell tumor	http://www.ebi.ac.uk/efo/EFO_1000566	male	http://purl.obolibrary.org/obo/PATO_0000384			NEC8		testis	http://purl.obolibrary.org/obo/UBERON_0000473	testicular germ cell tumor	http://www.ebi.ac.uk/efo/EFO_1000566	Yes
ERR975464	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NH-12		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	adrenal gland neuroblastoma	http://www.ebi.ac.uk/efo/EFO_1000075	male	http://purl.obolibrary.org/obo/PATO_0000384			NH-12		peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	adrenal gland neuroblastoma	http://www.ebi.ac.uk/efo/EFO_1000075	Yes
ERR975465	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NKM-1		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000222	not available				NKM-1		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000222	Yes
ERR975466	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	no-10		brain	http://purl.obolibrary.org/obo/UBERON_0000955	anaplastic astrocytoma	http://www.ebi.ac.uk/efo/EFO_0002499	male	http://purl.obolibrary.org/obo/PATO_0000384			no-10		brain	http://purl.obolibrary.org/obo/UBERON_0000955	anaplastic astrocytoma	http://www.ebi.ac.uk/efo/EFO_0002499	Yes
ERR975467	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	no-11		brain	http://purl.obolibrary.org/obo/UBERON_0000955	anaplastic astrocytoma	http://www.ebi.ac.uk/efo/EFO_0002499	female	http://purl.obolibrary.org/obo/PATO_0000383			no-11		brain	http://purl.obolibrary.org/obo/UBERON_0000955	anaplastic astrocytoma	http://www.ebi.ac.uk/efo/EFO_0002499	Yes
ERR975468	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVCA420	http://www.ebi.ac.uk/efo/EFO_0006720	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	female	http://purl.obolibrary.org/obo/PATO_0000383			OVCA420	http://www.ebi.ac.uk/efo/EFO_0006720	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Yes
ERR975469	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVCA433	http://www.ebi.ac.uk/efo/EFO_0006723	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	female	http://purl.obolibrary.org/obo/PATO_0000383			OVCA433	http://www.ebi.ac.uk/efo/EFO_0006723	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Yes
ERR975470	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVCAR-5	http://www.ebi.ac.uk/efo/EFO_0005443	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	female	http://purl.obolibrary.org/obo/PATO_0000383			OVCAR-5	http://www.ebi.ac.uk/efo/EFO_0005443	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	Yes
ERR975471	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVKATE	http://www.ebi.ac.uk/efo/EFO_0006725	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	female	http://purl.obolibrary.org/obo/PATO_0000383			OVKATE	http://www.ebi.ac.uk/efo/EFO_0006725	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	Yes
ERR975472	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OVMIU		ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	female	http://purl.obolibrary.org/obo/PATO_0000383			OVMIU		ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Yes
ERR975473	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	P30-OHK		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	female	http://purl.obolibrary.org/obo/PATO_0000383			P30-OHK		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute lymphoblastic leukemia	http://www.ebi.ac.uk/efo/EFO_0000220	Yes
ERR975474	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	P32-ISH		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	male	http://purl.obolibrary.org/obo/PATO_0000384			P32-ISH		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	Burkitts lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	Yes
ERR975475	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PA-1	http://www.ebi.ac.uk/efo/EFO_0006465	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian germ cell tumour	http://www.ebi.ac.uk/efo/EFO_1000419	female	http://purl.obolibrary.org/obo/PATO_0000383	peritoneum	http://purl.obolibrary.org/obo/UBERON_0002358	PA-1	http://www.ebi.ac.uk/efo/EFO_0006465	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian germ cell tumour	http://www.ebi.ac.uk/efo/EFO_1000419	Yes
ERR981477	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SISO		uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	female	http://purl.obolibrary.org/obo/PATO_0000383			SISO		uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	Yes
ERR981478	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SJRH30	http://www.ebi.ac.uk/efo/EFO_0002329	musculature	http://purl.obolibrary.org/obo/UBERON_0001015	rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0002918	male	http://purl.obolibrary.org/obo/PATO_0000384	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371	SJRH30	http://www.ebi.ac.uk/efo/EFO_0002329	musculature	http://purl.obolibrary.org/obo/UBERON_0001015	rhabdomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0002918	Yes
ERR981479	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SKG-IIIa		uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	female	http://purl.obolibrary.org/obo/PATO_0000383			SKG-IIIa		uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	Yes
ERR981480	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-GT-2		stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	male	http://purl.obolibrary.org/obo/PATO_0000384			SK-GT-2		stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000503	Yes
ERR981481	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-GT-4		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000478	male	http://purl.obolibrary.org/obo/PATO_0000384			SK-GT-4		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000478	Yes
ERR981482	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SK-MG-1		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	female	http://purl.obolibrary.org/obo/PATO_0000383			SK-MG-1		brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	Yes
ERR981483	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SKN		uterus	http://purl.obolibrary.org/obo/UBERON_0000995	leiomyoma	http://www.ebi.ac.uk/efo/EFO_0000731	female	http://purl.obolibrary.org/obo/PATO_0000383			SKN		uterus	http://purl.obolibrary.org/obo/UBERON_0000995	leiomyoma	http://www.ebi.ac.uk/efo/EFO_0000731	Yes
ERR981484	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SKN-3		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	not available				SKN-3		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR981485	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	NTERA-2cl-D1		testis	http://purl.obolibrary.org/obo/UBERON_0000473	testicular germ cell tumor	http://www.ebi.ac.uk/efo/EFO_1000566	male	http://purl.obolibrary.org/obo/PATO_0000384			NTERA-2cl-D1		testis	http://purl.obolibrary.org/obo/UBERON_0000473	testicular germ cell tumor	http://www.ebi.ac.uk/efo/EFO_1000566	Yes
ERR981486	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OACM5-1		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000478	female	http://purl.obolibrary.org/obo/PATO_0000383	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	OACM5-1		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000478	Yes
ERR981487	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OACp4C		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000478	male	http://purl.obolibrary.org/obo/PATO_0000384			OACp4C		esophagus	http://purl.obolibrary.org/obo/UBERON_0001043	esophageal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000478	Yes
ERR981488	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OCI-LY7	http://www.ebi.ac.uk/efo/EFO_0006711	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	male	http://purl.obolibrary.org/obo/PATO_0000384			OCI-LY7	http://www.ebi.ac.uk/efo/EFO_0006711	hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	diffuse large B cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	Yes
ERR981489	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OMC-1		uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	female	http://purl.obolibrary.org/obo/PATO_0000383			OMC-1		uterine cervix	http://purl.obolibrary.org/obo/UBERON_0000002	cervical carcinoma	http://www.ebi.ac.uk/efo/EFO_0001061	Yes
ERR981490	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSC-19		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	male	http://purl.obolibrary.org/obo/PATO_0000384	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	OSC-19		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR981491	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OSC-20		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	female	http://purl.obolibrary.org/obo/PATO_0000383	unspecified		OSC-20		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR981492	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	OV-17R		ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	female	http://purl.obolibrary.org/obo/PATO_0000383	peritoneum	http://purl.obolibrary.org/obo/UBERON_0002358	OV-17R		ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	Yes
ERR981493	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PCI-15A		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	not available				PCI-15A		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR981494	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PCI-30		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	not available				PCI-30		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR981495	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PCI-38		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	not available				PCI-38		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR981496	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PCI-4B		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	not available				PCI-4B		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR981497	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PCI-6A		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	not available				PCI-6A		mucosa	http://purl.obolibrary.org/obo/UBERON_0000344	head and neck squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0000181	Yes
ERR981498	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PEO1	http://www.ebi.ac.uk/efo/EFO_0005445	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002917	female	http://purl.obolibrary.org/obo/PATO_0000383	peritoneum	http://purl.obolibrary.org/obo/UBERON_0002358	PEO1	http://www.ebi.ac.uk/efo/EFO_0005445	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian serous adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002917	Yes
ERR981499	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PFSK-1	http://www.ebi.ac.uk/efo/EFO_0005234	brain	http://purl.obolibrary.org/obo/UBERON_0000955	medulloblastoma	http://www.ebi.ac.uk/efo/EFO_0002939	male	http://purl.obolibrary.org/obo/PATO_0000384			PFSK-1	http://www.ebi.ac.uk/efo/EFO_0005234	brain	http://purl.obolibrary.org/obo/UBERON_0000955	medulloblastoma	http://www.ebi.ac.uk/efo/EFO_0002939	Yes
ERR981500	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PL18		pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	not available				PL18		pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
ERR981501	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PL4		pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	not available				PL4		pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
ERR981502	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PWR-1E		prostate gland	http://purl.obolibrary.org/obo/UBERON_0002367	normal	http://purl.obolibrary.org/obo/PATO_0000461	male	http://purl.obolibrary.org/obo/PATO_0000384			PWR-1E		prostate gland	http://purl.obolibrary.org/obo/UBERON_0002367	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
ERR981503	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	QIMR-WIL		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000222	not available				QIMR-WIL		hematopoietic system	http://purl.obolibrary.org/obo/UBERON_0002390	acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000222	Yes
