Run	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[cell line]	Sample Characteristic Ontology Term[cell line]	Sample Characteristic[tissue supergroup]	Sample Characteristic Ontology Term[tissue supergroup]	Sample Characteristic[metatastic tissue]	Sample Characteristic Ontology Term[metatastic tissue]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[ethnicity]	Sample Characteristic Ontology Term[ethnicity]	Sample Characteristic[media]	Sample Characteristic Ontology Term[media]	Sample Characteristic[freeze media]	Sample Characteristic Ontology Term[freeze media]	Factor Value[cell line]	Factor Value Ontology Term[cell line]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
ERR413875	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PK-8	http://www.ebi.ac.uk/efo/EFO_0006737	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		PK-8	http://www.ebi.ac.uk/efo/EFO_0006737	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	Yes
ERR413876	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PL-21	http://www.ebi.ac.uk/efo/EFO_0006473	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	24 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		RPMI-1640; 10% HI FBS; 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		PL-21	http://www.ebi.ac.uk/efo/EFO_0006473	blood	http://purl.obolibrary.org/obo/UBERON_0000178	leukemia	http://www.ebi.ac.uk/efo/EFO_0000565	Yes
ERR413877	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PL45	http://www.ebi.ac.uk/efo/EFO_0006474	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	not available		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	DMEM, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		PL45	http://www.ebi.ac.uk/efo/EFO_0006474	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic ductal adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0002517	Yes
ERR413878	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PLC/PRF/5	http://www.ebi.ac.uk/efo/EFO_0006291	liver	http://purl.obolibrary.org/obo/UBERON_0002107	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	liver	http://purl.obolibrary.org/obo/UBERON_0002107	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		PLC/PRF/5	http://www.ebi.ac.uk/efo/EFO_0006291	liver	http://purl.obolibrary.org/obo/UBERON_0002107	hepatocellular carcinoma	http://www.ebi.ac.uk/efo/EFO_0000182	Yes
ERR413879	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	PSN1	http://www.ebi.ac.uk/efo/EFO_0006739	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		PSN1	http://www.ebi.ac.uk/efo/EFO_0006739	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1000044	Yes
ERR413880	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	QGP-1	http://www.ebi.ac.uk/efo/EFO_0006741	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic islet cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0007416	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		QGP-1	http://www.ebi.ac.uk/efo/EFO_0006741	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264	pancreatic islet cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0007416	Yes
ERR413881	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RAJI	http://www.ebi.ac.uk/efo/EFO_0002324	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	malignant Burkitt's lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	11 year		male	http://purl.obolibrary.org/obo/PATO_0000384	African	http://purl.obolibrary.org/obo/HANCESTRO_0010	RPMI-1640, 10% HI FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RAJI	http://www.ebi.ac.uk/efo/EFO_0002324	blood	http://purl.obolibrary.org/obo/UBERON_0000178	malignant Burkitt's lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	No
ERR413882	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RAMOS	http://www.ebi.ac.uk/efo/EFO_0002077	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	malignant Burkitt's lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	3 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		RPMI-1640 10% HI FBS, 2mM Glutamine		Complete Growth Media, 90%; DMSO, 10%		RAMOS	http://www.ebi.ac.uk/efo/EFO_0002077	blood	http://purl.obolibrary.org/obo/UBERON_0000178	malignant Burkitt's lymphoma	http://www.ebi.ac.uk/efo/EFO_0000309	Yes
ERR413883	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RC-K8	http://www.ebi.ac.uk/efo/EFO_0006742	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000096	not available		not available		not available		RPMI-1640, 10% HI FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RC-K8	http://www.ebi.ac.uk/efo/EFO_0006742	blood	http://purl.obolibrary.org/obo/UBERON_0000178	B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000096	Yes
ERR413884	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RCM-1	http://www.ebi.ac.uk/efo/EFO_0006476	colo-rectal		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	73 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RCM-1	http://www.ebi.ac.uk/efo/EFO_0006476	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR413885	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	REC-1	http://www.ebi.ac.uk/efo/EFO_0002317	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000096	61 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		RPMI-1640, 10% HI FBS, 2mM Glutamine		70% RPMI, 20% HI FBS, 10% DMSO		REC-1	http://www.ebi.ac.uk/efo/EFO_0002317	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000096	No
ERR413886	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RERF-GC-1B	http://www.ebi.ac.uk/efo/EFO_0006743	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric carcinoma	http://www.ebi.ac.uk/efo/EFO_0000178	41 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Japanese	http://purl.obolibrary.org/obo/HANCESTRO_0019	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RERF-GC-1B	http://www.ebi.ac.uk/efo/EFO_0006743	stomach	http://purl.obolibrary.org/obo/UBERON_0000945	gastric carcinoma	http://www.ebi.ac.uk/efo/EFO_0000178	Yes
ERR413887	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RERF-LC-KJ	http://www.ebi.ac.uk/efo/EFO_0002851	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	78 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RERF-LC-KJ	http://www.ebi.ac.uk/efo/EFO_0002851	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413888	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RERF-LC-MS	http://www.ebi.ac.uk/efo/EFO_0002852	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RERF-LC-MS	http://www.ebi.ac.uk/efo/EFO_0002852	lung	http://purl.obolibrary.org/obo/UBERON_0002048	non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0003060	Yes
ERR413889	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RERF-LC-OK	http://www.ebi.ac.uk/efo/EFO_0006744	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RERF-LC-OK	http://www.ebi.ac.uk/efo/EFO_0006744	lung	http://purl.obolibrary.org/obo/UBERON_0002048	lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0000571	Yes
ERR413890	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RI-1	http://www.ebi.ac.uk/efo/EFO_0006477	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000096	57 year		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% HI FBS, 2mM Glutamine		RPMI-1640, 20% HI FBS, 10% DMSO		RI-1	http://www.ebi.ac.uk/efo/EFO_0006477	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000096	Yes
ERR413891	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RKN	http://www.ebi.ac.uk/efo/EFO_0006745	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian leiomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0006718	45 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Japanese	http://purl.obolibrary.org/obo/HANCESTRO_0019	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RKN	http://www.ebi.ac.uk/efo/EFO_0006745	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian leiomyosarcoma	http://www.ebi.ac.uk/efo/EFO_0006718	Yes
ERR413892	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RKO	http://www.ebi.ac.uk/efo/EFO_0001232	colo-rectal		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		90% FBS; 10% DMSO		RKO	http://www.ebi.ac.uk/efo/EFO_0001232	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR413893	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RKO-E6	http://www.ebi.ac.uk/efo/EFO_0002318	colo-rectal		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	not available		not available		not available		EMEM, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RKO-E6	http://www.ebi.ac.uk/efo/EFO_0002318	colon	http://purl.obolibrary.org/obo/UBERON_0001155	colon carcinoma	http://www.ebi.ac.uk/efo/EFO_0000365	Yes
ERR413894	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RL		lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000096	52 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		RPMI-1640, 10% HI FBS, 2mM Glutamine		RPMI 1640, 20% HI FBS, 10% DMSO		RL		lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000096	Yes
ERR413895	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RMG-I	http://www.ebi.ac.uk/efo/EFO_0006746	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RMG-I	http://www.ebi.ac.uk/efo/EFO_0006746	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	Yes
ERR413896	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RMUG-S	http://www.ebi.ac.uk/efo/EFO_0006747	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	62 year		female	http://purl.obolibrary.org/obo/PATO_0000383	Japanese	http://purl.obolibrary.org/obo/HANCESTRO_0019	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RMUG-S	http://www.ebi.ac.uk/efo/EFO_0006747	ovary	http://purl.obolibrary.org/obo/UBERON_0000992	ovarian adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0006460	Yes
ERR413897	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RPMI 2650	http://www.ebi.ac.uk/efo/EFO_0006478	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	nasal septum	http://purl.obolibrary.org/obo/UBERON_0001706	nasal septum squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000057	52 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RPMI 2650	http://www.ebi.ac.uk/efo/EFO_0006478	nasal septum	http://purl.obolibrary.org/obo/UBERON_0001706	nasal septum squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000057	Yes
ERR413898	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RPMI 8226	http://www.ebi.ac.uk/efo/EFO_0002322	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	not available		not available		not available		RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RPMI 8226	http://www.ebi.ac.uk/efo/EFO_0002322	blood	http://purl.obolibrary.org/obo/UBERON_0000178	multiple myeloma	http://www.ebi.ac.uk/efo/EFO_0001378	Yes
ERR413899	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RPMI-7951	http://www.ebi.ac.uk/efo/EFO_0005712	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	18 year		not available		Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RPMI-7951	http://www.ebi.ac.uk/efo/EFO_0005712	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014	melanoma	http://www.ebi.ac.uk/efo/EFO_0000756	Yes
ERR413900	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RT-112	http://www.ebi.ac.uk/efo/EFO_0006479	urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	urinary bladder transitional cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006544	not available		female	http://purl.obolibrary.org/obo/PATO_0000383	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RT-112	http://www.ebi.ac.uk/efo/EFO_0006479	urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	urinary bladder transitional cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006544	Yes
ERR413901	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	RT4	http://www.ebi.ac.uk/efo/EFO_0006480	urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	urinary bladder transitional cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006544	63 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		RT4	http://www.ebi.ac.uk/efo/EFO_0006480	urinary bladder	http://purl.obolibrary.org/obo/UBERON_0001255	urinary bladder transitional cell carcinoma	http://www.ebi.ac.uk/efo/EFO_0006544	Yes
ERR413902	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SC-1	http://www.ebi.ac.uk/efo/EFO_0006481	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000096	67 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		RPMI-1640 10% HI FBS, 2mM Glutamine		Complete Growth Media, 90%; DMSO, 10%		SC-1	http://www.ebi.ac.uk/efo/EFO_0006481	lymph node	http://purl.obolibrary.org/obo/UBERON_0000029	B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000096	Yes
ERR413903	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SCC-15	http://www.ebi.ac.uk/efo/EFO_0006482	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		SCC-15	http://www.ebi.ac.uk/efo/EFO_0006482	tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
ERR413904	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SCC-25	http://www.ebi.ac.uk/efo/EFO_0006483	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		SCC-25	http://www.ebi.ac.uk/efo/EFO_0006483	tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
ERR413905	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SCC-3	http://www.ebi.ac.uk/efo/EFO_0006484	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	non-Hodgkin's lymphoma	http://www.ebi.ac.uk/efo/EFO_0000574	20 year		not available		not available		RPMI-1640 10% Heat Inactivated FBS, 2mM Glutamine		Complete Growth Media, 90%; DMSO, 10%		SCC-3	http://www.ebi.ac.uk/efo/EFO_0006484	blood	http://purl.obolibrary.org/obo/UBERON_0000178	non-Hodgkin's lymphoma	http://www.ebi.ac.uk/efo/EFO_0000574	Yes
ERR413906	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SCC-9	http://www.ebi.ac.uk/efo/EFO_0006485	head-neck	http://purl.obolibrary.org/obo/UBERON_0000033 http://purl.obolibrary.org/obo/UBERON_0000974	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	25 year		male	http://purl.obolibrary.org/obo/PATO_0000384	not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		SCC-9	http://www.ebi.ac.uk/efo/EFO_0006485	tongue	http://purl.obolibrary.org/obo/UBERON_0001723	tongue squamous cell carcinoma	http://www.ebi.ac.uk/efo/EFO_1000055	Yes
ERR413907	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SCLC-21H	http://www.ebi.ac.uk/efo/EFO_0006749	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	46 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	DMEM, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		SCLC-21H	http://www.ebi.ac.uk/efo/EFO_0006749	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR413908	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SCLC-22H	http://www.ebi.ac.uk/efo/EFO_0006750	lung	http://purl.obolibrary.org/obo/UBERON_0002048	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	46 year		male	http://purl.obolibrary.org/obo/PATO_0000384	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005	DMEM, 10% FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		SCLC-22H	http://www.ebi.ac.uk/efo/EFO_0006750	lung	http://purl.obolibrary.org/obo/UBERON_0002048	small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	Yes
ERR413909	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SET-2	http://www.ebi.ac.uk/efo/EFO_0006486	lymphoid		not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	blood	http://purl.obolibrary.org/obo/UBERON_0000178	acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000222	not available		not available		not available		RPMI-1640, 10% HI FBS, 2mM L-Glutamine		Complete growth medium, 90%; DMSO, 10%		SET-2	http://www.ebi.ac.uk/efo/EFO_0006486	blood	http://purl.obolibrary.org/obo/UBERON_0000178	acute myeloid leukemia	http://www.ebi.ac.uk/efo/EFO_0000222	Yes
ERR413910	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	SF268	http://www.ebi.ac.uk/efo/EFO_0005451	brain	http://purl.obolibrary.org/obo/UBERON_0000955	not applicable	http://purl.obolibrary.org/obo/NCIT_C48660	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioma	http://www.ebi.ac.uk/efo/EFO_0000326	not available		not available		not available		RPMI-1640, 10% FBS, 2mM L-Glutamine		90% FBS; 10% DMSO		SF268	http://www.ebi.ac.uk/efo/EFO_0005451	brain	http://purl.obolibrary.org/obo/UBERON_0000955	glioma	http://www.ebi.ac.uk/efo/EFO_0000326	Yes
