cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
Hey	Homo sapiens	ovary	ovarian carcinoma	no available	no available	female	no available	no available
HLE	Homo sapiens	liver	hepatocellular carcinoma	no available	no available	not available	no available	no available
HN	Homo sapiens	mucosa	head and neck squamous cell carcinoma; oral cavity squamous cell carcinoma	not available	no available	male; not available	no available	no available
HO-1-N-1	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
HO-1-u-1	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
Hs-445	Homo sapiens	hematopoietic system	Hodgkins lymphoma	no available	no available	female	no available	no available
Hs633T	Homo sapiens	connective tissue	fibrosarcoma	no available	no available	not available	no available	no available
HSC-39	Homo sapiens	stomach	gastric adenocarcinoma	no available	no available	male	no available	no available
HT-3	Homo sapiens	uterine cervix	cervical carcinoma	no available	no available	female	no available	no available
HUH-6-clone5	Homo sapiens	liver	hepatocellular carcinoma	no available	no available	male	no available	no available
IMR-5	Homo sapiens	brain	neuroblastoma	no available	no available	not available	no available	no available
JAR	Homo sapiens	placenta	choriocarcinoma	no available	no available	male	no available	no available
JEG-3	Homo sapiens	placenta	choriocarcinoma	no available	no available	not available	no available	no available
JHOS-3	Homo sapiens	ovary	ovarian adenocarcinoma	no available	no available	female	no available	no available
JHU-011	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
JHU-022	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
JHU-029	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
JiyoyeP-2003	Homo sapiens	hematopoietic system	Burkitts lymphoma	no available	no available	male	no available	no available
KON	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	male	no available	no available
KOSC-2	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	male	no available	no available
KP-1N	Homo sapiens	pancreas	pancreatic carcinoma	no available	no available	male	no available	no available
KP-N-YS	Homo sapiens	brain	neuroblastoma	no available	no available	not available	no available	no available
KY821	Homo sapiens	hematopoietic system	acute myelomonocytic leukemia	no available	no available	male	no available	no available
KYAE-1	Homo sapiens	esophagus	esophageal adenocarcinoma	no available	no available	male	no available	no available
KYSE-220	Homo sapiens	esophagus	squamous cell carcinoma	no available	no available	male	no available	no available
JSC-1	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma	no available	no available	not available	no available	no available
KARPAS-1106P	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; B-cell lymphoma	23 year	no available	female; not available	no available	no available
KARPAS-231	Homo sapiens	hematopoietic system	B-cell acute lymphoblastic leukemia	no available	no available	female	no available	no available
KARPAS-45	Homo sapiens	hematopoietic system	acute lymphoblastic leukemia	no available	no available	male	no available	no available
KGN	Homo sapiens	ovary	ovarian granulosa tumour	no available	no available	female	no available	no available
KINGS-1	Homo sapiens	brain	anaplastic astrocytoma	no available	no available	male	no available	no available
KMOE-2	Homo sapiens	hematopoietic system	acute myelomonocytic leukemia	no available	no available	female	no available	no available
KNS-81-FD	Homo sapiens	brain	glioma	no available	no available	male	no available	no available
KYSE-50	Homo sapiens	esophagus	squamous cell carcinoma	no available	no available	male	no available	no available
LAN-6	Homo sapiens	brain	neuroblastoma	no available	no available	male	no available	no available
LB771-HNC	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	male	no available	no available
LB831-BLC	Homo sapiens	urinary bladder	bladder carcinoma	no available	no available	male	no available	no available
LC4-1	Homo sapiens	hematopoietic system	acute lymphoblastic leukemia	no available	no available	female	no available	no available
LIM1215	Homo sapiens	large intestine	colorectal adenocarcinoma	no available	no available	male	no available	no available
LN-405	Homo sapiens	brain	glioblastoma multiforme	no available	no available	female	no available	no available
LNZTA3WT4	Homo sapiens	brain	glioblastoma multiforme	no available	no available	male	no available	no available
M059J	Homo sapiens	brain	glioblastoma multiforme; glioblastoma	33 year	no available	male	no available	no available
MC-1010	Homo sapiens	hematopoietic system	acute myeloid leukemia	no available	no available	male	no available	no available
MC-IXC	Homo sapiens	brain	neuroblastoma	no available	no available	female	no available	no available
ME-180	Homo sapiens	uterine cervix	cervical carcinoma; cervical squamous cell carcinoma	66 year	adult	female	no available	no available
MFH-ino	Homo sapiens	connective tissue	histiocytoma	no available	no available	female	no available	no available
MHH-PREB-1	Homo sapiens	hematopoietic system	B-cell acute lymphoblastic leukemia; B-cell lymphoma	6 year	no available	male	no available	no available
MKN28	Homo sapiens	stomach	gastric adenocarcinoma	no available	no available	female	no available	no available
ML-2	Homo sapiens	hematopoietic system	acute myelomonocytic leukemia; acute myelogenic leukemia	26 year	no available	male	no available	no available
MLMA	Homo sapiens	hematopoietic system	hairy cell leukemia	no available	no available	female	no available	no available
MN-60	Homo sapiens	hematopoietic system	B-cell acute lymphoblastic leukemia	no available	no available	male	no available	no available
MOG-G-CCM	Homo sapiens	brain	anaplastic astrocytoma	no available	no available	not available	no available	no available
MOG-G-UVW	Homo sapiens	brain	anaplastic astrocytoma	no available	no available	not available	no available	no available
Mo-T	Homo sapiens	hematopoietic system	hairy cell leukemia	no available	no available	male	no available	no available
MS751	Homo sapiens	uterine cervix	cervical carcinoma	47 year	no available	female	no available	no available
MY-M12	Homo sapiens	hematopoietic system	acute leukemia	no available	no available	female	no available	no available
MZ1-PC	Homo sapiens	pancreas	pancreatic adenocarcinoma	no available	no available	not available	no available	no available
NB-TU-1-10	Homo sapiens	peripheral nervous system	adrenal gland neuroblastoma	no available	no available	female	no available	no available
NB10	Homo sapiens	peripheral nervous system	neuroblastoma	no available	no available	male	no available	no available
NB12	Homo sapiens	peripheral nervous system	neuroblastoma	no available	no available	female	no available	no available
NB13	Homo sapiens	peripheral nervous system	neuroblastoma	no available	no available	male	no available	no available
NB14	Homo sapiens	peripheral nervous system	neuroblastoma	no available	no available	female	no available	no available
NB17	Homo sapiens	peripheral nervous system	neuroblastoma	no available	no available	female	no available	no available
NB5	Homo sapiens	peripheral nervous system	neuroblastoma	no available	no available	female	no available	no available
NB6	Homo sapiens	peripheral nervous system	neuroblastoma	no available	no available	male	no available	no available
NB69	Homo sapiens	peripheral nervous system	neuroblastoma	no available	no available	male	no available	no available
NB7	Homo sapiens	peripheral nervous system	neuroblastoma	no available	no available	male	no available	no available
NCCIT	Homo sapiens	testis	testicular germ cell tumor	no available	no available	male	no available	no available
NCI-SNU-1	Homo sapiens	stomach	gastric adenocarcinoma	no available	no available	male	no available	no available
NCI-SNU-16	Homo sapiens	stomach	gastric adenocarcinoma	no available	no available	female	no available	no available
NEC8	Homo sapiens	testis	testicular germ cell tumor	no available	no available	male	no available	no available
NH-12	Homo sapiens	peripheral nervous system	adrenal gland neuroblastoma	no available	no available	male	no available	no available
NKM-1	Homo sapiens	hematopoietic system	acute myeloid leukemia	no available	no available	not available	no available	no available
no-10	Homo sapiens	brain	anaplastic astrocytoma	no available	no available	male	no available	no available
no-11	Homo sapiens	brain	anaplastic astrocytoma	no available	no available	female	no available	no available
OVCA420	Homo sapiens	ovary	ovarian carcinoma; ovarian serous adenocarcinoma			female	no available	
OVCA433	Homo sapiens	ovary	ovarian carcinoma; ovarian serous adenocarcinoma	no available	adult	female	no available	no available
OVCAR-5	Homo sapiens	ovary	ovarian adenocarcinoma	not available	no available	female	no available	no available
OVMIU	Homo sapiens	ovary	ovarian carcinoma	no available	no available	female	no available	no available
P30-OHK	Homo sapiens	hematopoietic system	acute lymphoblastic leukemia	no available	no available	female	no available	no available
P32-ISH	Homo sapiens	hematopoietic system	Burkitts lymphoma	no available	no available	male	no available	no available
PA-1	Homo sapiens	ovary	ovarian germ cell tumour; ovarian carcinoma	not available	no available	female; not available	no available	no available
SISO	Homo sapiens	uterine cervix	cervical carcinoma	no available	no available	female	no available	no available
SJRH30	Homo sapiens	musculature	rhabdomyosarcoma	no available	no available	male	no available	no available
SKG-IIIa	Homo sapiens	uterine cervix	cervical carcinoma	no available	no available	female	no available	no available
SK-GT-2	Homo sapiens	stomach	gastric adenocarcinoma	no available	no available	male	no available	no available
SK-GT-4	Homo sapiens	esophagus	esophageal adenocarcinoma	no available	no available	male	no available	no available
SK-MG-1	Homo sapiens	brain	glioblastoma multiforme	no available	no available	female	no available	no available
SKN	Homo sapiens	uterus	leiomyoma	no available	no available	female	no available	no available
SKN-3	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
NTERA-2cl-D1	Homo sapiens	testis	testicular germ cell tumor	no available	no available	male	no available	no available
OACM5-1	Homo sapiens	esophagus	esophageal adenocarcinoma	no available	no available	female	no available	no available
OACp4C	Homo sapiens	esophagus	esophageal adenocarcinoma	no available	no available	male	no available	no available
OCI-LY7	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma	no available	no available	male	no available	no available
OMC-1	Homo sapiens	uterine cervix	cervical carcinoma	no available	no available	female	no available	no available
OSC-19	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	male	no available	no available
OSC-20	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	female	no available	no available
OV-17R	Homo sapiens	ovary	ovarian adenocarcinoma	no available	no available	female	no available	no available
PCI-15A	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
PCI-30	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
PCI-38	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
PCI-4B	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
PCI-6A	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
PEO1	Homo sapiens	ovary	ovarian serous adenocarcinoma; ovarian cystadenocarcinoma	no available	adult	female	no available	no available
PFSK-1	Homo sapiens	brain	medulloblastoma	no available	no available	male	no available	no available
PL18	Homo sapiens	pancreas	pancreatic adenocarcinoma	no available	no available	not available	no available	no available
PL4	Homo sapiens	pancreas	pancreatic adenocarcinoma	no available	no available	not available	no available	no available
PWR-1E	Homo sapiens	prostate gland	normal	no available	no available	male	no available	no available
QIMR-WIL	Homo sapiens	hematopoietic system	acute myeloid leukemia	no available	no available	not available	no available	no available
Ramos-2G6-4C10	Homo sapiens	hematopoietic system	Burkitts lymphoma	no available	no available	male	no available	no available
RCC-ER	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	male	no available	no available
RCC-FG2	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	male	no available	no available
RC-K8	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; B-cell lymphoma	not available	no available	male; not available	no available	no available
RF-48	Homo sapiens	stomach	gastric adenocarcinoma	no available	no available	male	no available	no available
RH-1	Homo sapiens	musculature	rhabdomyosarcoma	no available	no available	male	no available	no available
ROS-50	Homo sapiens	hematopoietic system	B-cell acute lymphoblastic leukemia	no available	no available	male	no available	no available
RPMI-2650	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	male	no available	no available
RPMI-6666	Homo sapiens	hematopoietic system	Hodgkins lymphoma	no available	no available	male	no available	no available
RPMI-8866	Homo sapiens	hematopoietic system	chronic myelogenous leukemia	no available	no available	female	no available	no available
SAS	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
SAT	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
SC-1	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; B-cell lymphoma	67 year	no available	male	no available	no available
SCC-3	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; non-Hodgkin's lymphoma	20 year	no available	female; not available	no available	no available
SCC90	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	male	no available	no available
SCH	Homo sapiens	stomach	choriocarcinoma	no available	no available	male	no available	no available
Set2	Homo sapiens	hematopoietic system	essential thrombocythemia	no available	no available	female	no available	no available
WIL2-NS	Homo sapiens	hematopoietic system	lymphoma	no available	no available	male	no available	no available
WSU-NHL	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; B-cell lymphoma	not available	no available	female; not available	no available	no available
YT	Homo sapiens	hematopoietic system	acute lymphoblastic leukemia	no available	no available	male	no available	no available
ACN	Homo sapiens	peripheral nervous system	neuroblastoma	no available	no available	male	no available	no available
COLO-741	Homo sapiens	large intestine	colorectal carcinoma	no available	no available	female	no available	no available
NBsusSR	Homo sapiens	peripheral nervous system	neuroblastoma	no available	no available	male	no available	no available
SK-NEP-1	Homo sapiens	bone	Ewing sarcoma	no available	no available	female	no available	no available
TASK1	Homo sapiens	peripheral nervous system	Askin tumor	no available	no available	male	no available	no available
STS-0421	Homo sapiens	musculature	not available	no available	no available	not available	no available	no available
SU-DHL-16	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; B-cell lymphoma	not available	no available	male	no available	no available
SUP-B8	Homo sapiens	hematopoietic system	acute lymphoblastic leukemia	no available	no available	not available	no available	no available
SW156	Homo sapiens	kidney	renal cell carcinoma	no available	no available	male	no available	no available
SW684	Homo sapiens	connective tissue	fibrosarcoma	no available	no available	male	no available	no available
SW756	Homo sapiens	uterine cervix	cervical squamous cell carcinoma	no available	no available	female	no available	no available
SW872	Homo sapiens	connective tissue	liposarcoma	no available	no available	male	no available	no available
SW954	Homo sapiens	vulva	vulvar squamous cell carcinoma	no available	no available	female	no available	no available
SW962	Homo sapiens	vulva	vulvar carcinoma	no available	no available	female	no available	no available
SW982	Homo sapiens	connective tissue	synovial sarcoma	no available	no available	female	no available	no available
TC-YIK	Homo sapiens	uterine cervix	cervical small cell carcinoma	no available	no available	female	no available	no available
TE-12	Homo sapiens	esophagus	esophageal squamous cell carcinoma	no available	no available	not available	no available	no available
TGBC1TKB	Homo sapiens	gall bladder	gallbladder adenocarcinoma	no available	no available	female	no available	no available
TGBC24TKB	Homo sapiens	gall bladder	undifferentiated gallbladder carcinoma	no available	no available	female	no available	no available
TGW	Homo sapiens	peripheral nervous system	adrenal gland neuroblastoma	no available	no available	not available	no available	no available
TK	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma; lymphoma	not available	no available	not available	no available	no available
TMK-1	Homo sapiens	stomach	gastric adenocarcinoma	no available	no available	not available	no available	no available
TUR	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma	no available	no available	male	no available	no available
U-698-M	Homo sapiens	hematopoietic system	B-cell acute lymphoblastic leukemia; B-cell lymphoma	7 year	no available	male	no available	no available
UDSCC2	Homo sapiens	mucosa	head and neck squamous cell carcinoma	no available	no available	not available	no available	no available
UWB1-289	Homo sapiens	ovary	ovarian carcinoma	no available	no available	female	no available	no available
VA-ES-BJ	Homo sapiens	connective tissue	sarcoma	no available	no available	male	no available	no available
VAL	Homo sapiens	hematopoietic system	diffuse large B cell lymphoma	no available	no available	female	no available	no available
VMRC-MELG	Homo sapiens	skin	melanoma	no available	no available	not available	no available	no available
888	Homo sapiens	zone of skin	melanoma	not available	no available	not available	no available	no available
105KC	Homo sapiens	cartilage tissue	chondrosarcoma	66 year	no available	male	no available	no available
143B	Homo sapiens	bone tissue	osteosarcoma	13 year	no available	female	no available	no available
501A	Homo sapiens	zone of skin	melanoma	not available	no available	not available	no available	no available
537 MEL	Homo sapiens	zone of skin	melanoma	not available	no available	not available	no available	no available
624 mel	Homo sapiens	zone of skin	melanoma	not available	no available	not available	no available	no available
928 mel	Homo sapiens	zone of skin	melanoma	not available	no available	not available	no available	no available
A-427	Homo sapiens	lung	lung carcinoma	52 year	no available	male	no available	no available
A-431	Homo sapiens	zone of skin	skin squamous cell carcinoma	85 year	no available	female	no available	no available
ATRFLOX	Homo sapiens	colon	colon carcinoma	not available	no available	male	no available	no available
BICR 10	Homo sapiens	oral cavity	oral cavity squamous cell carcinoma	not available	no available	not available	no available	no available
BICR 78	Homo sapiens	oral cavity	oral cavity squamous cell carcinoma	not available	no available	not available	no available	no available
BJAB	Homo sapiens	lymph node	B-cell lymphoma	not available	no available	not available	no available	no available
C-33 A	Homo sapiens	uterine cervix	cervical carcinoma	not available	no available	not available	no available	no available
C170	Homo sapiens	colon	colon carcinoma	not available	no available	not available	no available	no available
C32TG	Homo sapiens	zone of skin	melanoma	53 year	no available	male	no available	no available
Ca Ski	Homo sapiens	uterine cervix	cervical carcinoma	not available	no available	not available	no available	no available
Caco-2	Homo sapiens	colon	colon adenocarcinoma; colorectal adenocarcinoma	not available; 72	adult	not available; male	no available	Caco2
CAL 27	Homo sapiens	tongue	tongue squamous cell carcinoma	56 year	no available	male	no available	no available
CAL 54	Homo sapiens	kidney	renal adenocarcinoma	not available	no available	not available	no available	no available
CAL51	Homo sapiens	breast; mammary gland	breast adenocarcinoma; breast carcinoma	45 year; 45	adult	female	no available	CAL-51
CCRF-SB	Homo sapiens	blood	leukemia	not available	no available	not available	no available	no available
COLO 205	Homo sapiens	colon	colon adenocarcinoma	70 year; 70	adult	male	no available	
COLO 206F	Homo sapiens	colon	colon adenocarcinoma	70 year	no available	male	no available	no available
COLO 320DM	Homo sapiens	colon	colon carcinoma	55 year	no available	female	no available	no available
COLO 678	Homo sapiens	colon	colon carcinoma	69 year	no available	male	no available	no available
COLO 679	Homo sapiens	zone of skin	melanoma	47 year	no available	female	no available	no available
COLO 680N	Homo sapiens	esophagus	squamous cell carcinoma	57 year	no available	female	no available	no available
COLO 699	Homo sapiens	lung	lung adenocarcinoma	57 year	no available	female	no available	no available
COLO 794	Homo sapiens	zone of skin	melanoma	14 year	no available	male	no available	no available
COLO 800	Homo sapiens	zone of skin	melanoma	14 year	no available	male	no available	no available
COLO 849	Homo sapiens	zone of skin	metastatic melanoma	43 year	no available	male	no available	no available
COLO 853	Homo sapiens	zone of skin	melanoma	43 year	no available	male	no available	no available
COLO 857	Homo sapiens	zone of skin	melanoma	43 year	no available	male	no available	no available
COLO-704	Homo sapiens	ovary	ovarian adenocarcinoma	46 year	no available	female	no available	no available
COLO-818	Homo sapiens	zone of skin	metastatic melanoma	not available	no available	not available	no available	no available
COR-L26	Homo sapiens	lung	large cell lung carcinoma	not available	no available	female	no available	no available
COV413A	Homo sapiens	ovary	ovarian carcinoma	not available	no available	female	no available	no available
COV413B	Homo sapiens	ovary	ovarian carcinoma	not available	no available	female	no available	no available
COV504	Homo sapiens	ovary	ovarian carcinoma	not available	no available	not available	no available	no available
CX-1	Homo sapiens	colon	colon adenocarcinoma	not available	no available	not available	no available	no available
DEOC-1	Homo sapiens	zone of skin	melanoma	59 year	no available	male	no available	no available
DLD-1	Homo sapiens	colon	colon adenocarcinoma	not available	no available	male	no available	no available
DOR 13	Homo sapiens	ovary	ovarian carcinoma	not available	no available	female	no available	no available
EFM-192B	Homo sapiens	breast	breast adenocarcinoma	46 year	no available	female	no available	no available
EFM-192C	Homo sapiens	breast	breast adenocarcinoma	46 year	no available	female	no available	no available
G111	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G112	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G118	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G120	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G121	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G122	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G124	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G130	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G140	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G141	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G142	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G22	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G28T	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G44	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G59	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G61	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G84	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
G96	Homo sapiens	brain	glioma	not available	no available	not available	no available	no available
GR-M	Homo sapiens	zone of skin	melanoma	36 year	no available	male	no available	no available
GTL-16	Homo sapiens	stomach	gastric adenocarcinoma	62 year	no available	female	no available	no available
H322T	Homo sapiens	lung	non-small cell lung carcinoma	not available	no available	not available	no available	no available
HBL-100	Homo sapiens	breast	normal at the time of derivation	27 year	no available	female	no available	no available
HCA-7	Homo sapiens	colon	colon adenocarcinoma; colorectal adenocarcinoma	58 year	no available	female	no available	no available
HCC1011	Homo sapiens	kidney	renal cell carcinoma	37 year	no available	male	no available	no available
HCC1162	Homo sapiens	uterus	uterine adenocarcinoma	not available	no available	not available	no available	no available
HCC1171	Homo sapiens	lung	non-small cell lung carcinoma	not available	no available	not available	no available	no available
HCC12	Homo sapiens	kidney	renal cell carcinoma	45 year	no available	female	no available	no available
HCC1263	Homo sapiens	colon	colon adenocarcinoma	20 year	no available	female	no available	no available
HCC1319	Homo sapiens	kidney	renal cell carcinoma	68 year	no available	male	no available	no available
HCC1359	Homo sapiens	lung	large cell lung carcinoma	not available	no available	not available	no available	no available
HCC1482	Homo sapiens	uterus	uterine adenocarcinoma	62 year	no available	female	no available	no available
HCC1493	Homo sapiens	breast	breast adenocarcinoma	43 year	no available	male	no available	no available
HCC1534	Homo sapiens	lung	lung adenocarcinoma	not available	no available	not available	no available	no available
HCC1576	Homo sapiens	adrenal gland	unknown adrenal cancer	not available	no available	not available	no available	no available
HCC193	Homo sapiens	lung	lung adenocarcinoma	71 year	no available	female	no available	no available
HCC2270	Homo sapiens	lung	lung adenocarcinoma	64 year	no available	female	no available	no available
HCC2279	Homo sapiens	lung	lung adenocarcinoma	52 year	no available	female	no available	no available
HCC2302	Homo sapiens	lung	lung adenocarcinoma	not available	no available	not available	no available	no available
HCC2688	Homo sapiens	breast	breast ductal adenocarcinoma	not available	no available	female	no available	no available
HCC2885	Homo sapiens	lung	non-small cell lung carcinoma	not available	no available	not available	no available	no available
HCC2911	Homo sapiens	breast	breast carcinoma	not available	no available	not available	no available	no available
HCC33	Homo sapiens	lung	small cell lung carcinoma	53 year	no available	male	no available	no available
HCC366	Homo sapiens	lung	non-small cell lung carcinoma	80 year	no available	female	no available	no available
HCC4011	Homo sapiens	lung	lung adenocarcinoma	53 year	no available	male	no available	no available
HCC4017	Homo sapiens	lung	large cell lung carcinoma	not available	no available	not available	no available	no available
HCC44	Homo sapiens	lung	non-small cell lung carcinoma	54 year	no available	female	no available	no available
HCC60	Homo sapiens	ovary	ovarian carcinoma	26 year	no available	female	no available	no available
HCC630	Homo sapiens	ovary	ovarian carcinoma	32 year	no available	female	no available	no available
HCC78	Homo sapiens	lung	lung adenocarcinoma	65 year	no available	male	no available	no available
HCC89	Homo sapiens	kidney	renal cell carcinoma	64 year	no available	female	no available	no available
HCT-8	Homo sapiens	ileum	ileum adenocarcinoma	not available	no available	not available	no available	no available
HEp-2	Homo sapiens	uterine cervix	cervical adenocarcinoma	not available	no available	not available	no available	no available
HEY	Homo sapiens	ovary	ovarian carcinoma	not available	no available	not available	no available	no available
HM7	Homo sapiens	colon	colon adenocarcinoma	not available	no available	not available	no available	no available
HMY-1	Homo sapiens	zone of skin	melanoma	62 year	no available	male	no available	no available
Hs 38.T	Homo sapiens	ovary	ovarian teratoma	not available	no available	female	no available	no available
Hs 69ST	Homo sapiens	zone of skin	melanoma	not available	no available	not available	no available	no available
HS-Sultan	Homo sapiens	blood	lymphoma	7 year	no available	male	no available	no available
HT-55	Homo sapiens	colon	colon carcinoma	not available	no available	not available	no available	no available
huH-1	Homo sapiens	liver	hepatocellular carcinoma	53 year	no available	male	no available	no available
IM-95	Homo sapiens	stomach	gastric adenocarcinoma	not available	no available	not available	no available	no available
IM-95m	Homo sapiens	stomach	gastric adenocarcinoma	63 year	no available	male	no available	no available
JEKO-1	Homo sapiens	lymph node	lymphoma	78 year	no available	female	no available	no available
Jiyoye	Homo sapiens	blood	malignant Burkitt's lymphoma	7 year	no available	male	no available	no available
JJ012	Homo sapiens	cartilage tissue	chondrosarcoma	not available	no available	not available	no available	no available
Jurkat, Clone E6-1	Homo sapiens	blood	acute T cell leukemia	not available	no available	male	no available	no available
Kasumi-1	Homo sapiens	blood	acute myeloid leukemia	not available	no available	not available	no available	no available
KCI-MOH1	Homo sapiens	pancreas	pancreatic adenocarcinoma	74 year	no available	male	no available	no available
KLM-1	Homo sapiens	pancreas	pancreatic carcinoma	not available	no available	not available	no available	no available
KM-12	Homo sapiens	colon	colon adenocarcinoma	not available	no available	not available	no available	no available
KMS-12-PE	Homo sapiens	bone marrow	multiple myeloma	64 year	no available	female	no available	no available
KMS-28PE	Homo sapiens	blood	multiple myeloma	77 year	no available	female	no available	no available
KPL-4	Homo sapiens	breast	breast ductal adenocarcinoma	52 year	no available	female	no available	no available
LNCAP	Homo sapiens	prostate gland	prostate carcinoma	50 year	no available	male	no available	no available
LOX-IMVI	Homo sapiens	zone of skin	melanoma	not available	no available	not available	no available	no available
LS 174T	Homo sapiens	colon	colon adenocarcinoma	not available	no available	not available	no available	no available
LXFL529	Homo sapiens	lung	non-small cell lung carcinoma	not available	no available	not available	no available	no available
MCF 10A	Homo sapiens	breast; mammary gland	breast fibrocystic disease	not available	not available	female; not available	no available	
MCF10DCIS.com	Homo sapiens	breast	breast ductal carcinoma in situ	not available	no available	not available	no available	no available
MDA-MB-435	Homo sapiens	zone of skin; skin	melanoma; amelanotic melanoma	not available; 30		not available; male	no available	
MIA Paca-2	Homo sapiens	pancreas	pancreatic carcinoma; pancreatic ductal adenocarcinoma	65 year; 65	adult	male	no available	
MKN-1	Homo sapiens	stomach	gastric adenosquamous carcinoma	72 year	no available	male	no available	no available
MKN-7	Homo sapiens	stomach	gastric tubular adenocarcinoma	39 year	no available	male	no available	no available
MKN-74	Homo sapiens	stomach	gastric adenocarcinoma	37 year	no available	male	no available	no available
MM.1S	Homo sapiens	blood	multiple myeloma	42 year	no available	female	no available	no available
MOR	Homo sapiens	lung	lung adenocarcinoma	not available	no available	not available	no available	no available
MT-3	Homo sapiens	breast	breast carcinoma	not available	no available	not available	no available	no available
MX-1	Homo sapiens	breast	breast carcinoma	not available	no available	not available	no available	no available
NCI-H1882	Homo sapiens	lung	small cell lung carcinoma	59 year	no available	male	no available	no available
NCI-H2198	Homo sapiens	lung	small cell lung carcinoma	67 year	no available	male	no available	no available
NCI-H2369	Homo sapiens	lung	mesothelioma	not available	no available	not available	no available	no available
NCI-H2373	Homo sapiens	lung	mesothelioma	not available	no available	not available	no available	no available
NCI-H2461	Homo sapiens	lung	mesothelioma	not available	no available	not available	no available	no available
NCI-H2595	Homo sapiens	lung	mesothelioma	not available	no available	not available	no available	no available
NCI-H2596	Homo sapiens	lung	mesothelioma	not available	no available	not available	no available	no available
NCI-H2722	Homo sapiens	lung	mesothelioma	not available	no available	not available	no available	no available
NCI-H2795	Homo sapiens	lung	mesothelioma	not available	no available	not available	no available	no available
NCI-H2803	Homo sapiens	lung	mesothelioma	not available	no available	not available	no available	no available
NCI-H2804	Homo sapiens	lung	mesothelioma	not available	no available	not available	no available	no available
NCI-H2810	Homo sapiens	lung	mesothelioma	not available	no available	not available	no available	no available
NCI-H920	Homo sapiens	lung	non-small cell lung carcinoma	43 year	no available	male	no available	no available
NCI-N417	Homo sapiens	lung	small cell lung carcinoma	not available	no available	not available	no available	no available
NIH:OVCAR-3	Homo sapiens	ovary	ovarian adenocarcinoma	not available	no available	female	no available	no available
NTERA-2	Homo sapiens	testis	testicular carcinoma	22 year	no available	male	no available	no available
OCI-LY-10	Homo sapiens	lymph node	B-cell lymphoma	not available	no available	not available	no available	no available
OCI-LY-3	Homo sapiens	lymph node	B-cell lymphoma	not available	no available	not available	no available	no available
