cell line	synonyms	organism part	disease	sampling site	cancer type detail	cellosaurus accession	organism	sex	ancestry category	age	model_id	sample_id	patient_id
H376	no available	Head and Neck	Oral Cavity Carcinoma	Mouth Floor	Oral Cavity Squamous Cell Carcinoma	CVCL_2463	Homo Sapiens	Female	Unknown	40	SIDM01857	SIDS01747	SIDP01653
SUP-T11	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Bone Marrow	Adult T Acute Lymphoblastic Leukemia	CVCL_2210	Homo Sapiens	Male	Unknown	74	SIDM01859	SIDS01720	SIDP01632
SLR25	no available	Kidney	Kidney Carcinoma	Unknown	Clear Cell Renal Cell Carcinoma	CVCL_V611	Homo Sapiens	Unknown	Unknown	no available	SIDM01861	SIDS01718	SIDP01630
SK-RC-20	no available	Kidney	Kidney Carcinoma	Unknown	Renal Cell Carcinoma	CVCL_V605	Homo Sapiens	Unknown	Unknown	no available	SIDM01863	SIDS01716	SIDP01628
SF8657	no available	Skin	Non-Cancerous	Skin	Non-Cancerous	CVCL_K085	Homo Sapiens	Male	East Asian	63	SIDM01865	SIDS01714	SIDP01626
Mero-48a	no available	Lung	Mesothelioma	Pleural Cavity	Pleural Biphasic Mesothelioma	CVCL_2593	Homo Sapiens	Male	Unknown	no available	SIDM01867	SIDS01686	SIDP01605
RMZ	no available	Soft Tissue	Rhabdomyosarcoma	Bone Marrow	Alveolar Rhabdomyosarcoma	CVCL_8422	Homo Sapiens	Male	White	3	SIDM01869	SIDS01711	SIDP01623
MUTZ-3	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral Blood	Acute Myeloid Leukemia	CVCL_1433	Homo Sapiens	Male	Unknown	29	SIDM01873	SIDS01697	SIDP01613
Onda-9	no available	Central Nervous System	Glioblastoma	Brain	Glioblastoma	CVCL_1R14	Homo Sapiens	Male	East Asian	58	SIDM01875	SIDS01707	SIDP01620
OCI-Ly13-2	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Bone Marrow	Diffuse Large B-Cell Lymphoma	CVCL_8797	Homo Sapiens	Female	Unknown	28	SIDM01877	SIDS01705	SIDP01618
OCI-Ly13-1	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Bone Marrow	Diffuse Large B-Cell Lymphoma	CVCL_M072	Homo Sapiens	Female	Unknown	28	SIDM01881	SIDS01704	SIDP01618
OCI-Ly10	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Lymph Node	Diffuse Large B-Cell Lymphoma	CVCL_8795	Homo Sapiens	Female	Unknown	66	SIDM01883	SIDS01702	SIDP01616
NP-5	no available	Central Nervous System	Glioblastoma	Brain	Glioblastoma	CVCL_1R17	Homo Sapiens	Male	East Asian	27	SIDM01885	SIDS01701	SIDP01615
TM87-16	no available	Soft Tissue	Other Solid Cancers	Pleural Effusion	Extrarenal Rhabdoid Tumor	CVCL_8001	Homo Sapiens	Male	White	1	SIDM01887	SIDS01723	SIDP01634
AN3-CA	no available	Endometrium	Endometrial Carcinoma	Endometrium	Endometrial Adenocarcinoma	CVCL_0028	Homo Sapiens	Female	White	55	SIDM00901	SIDS00077	SIDP00061
C-33-A	no available	Cervix	Cervical Carcinoma	Cervix	Cervical Squamous Cell Carcinoma	CVCL_1094	Homo Sapiens	Female	White	66	SIDM00889	SIDS00089	SIDP00072
CAL-51	no available	Breast	Breast Carcinoma	Pleural Effusion	Breast Carcinoma	CVCL_1110	Homo Sapiens	Female	Unknown	45	SIDM00933	SIDS00474	SIDP00411
CL-34	no available	Large Intestine	Colorectal Carcinoma	Right colon	Colon Adenocarcinoma	CVCL_1980	Homo Sapiens	Female	Unknown	no available	SIDM00945	SIDS00483	SIDP00420
DG-75	no available	Haematopoietic and Lymphoid	Burkitt's Lymphoma	Pleural Effusion	Burkitt's Lymphoma	CVCL_0244	Homo Sapiens	Male	Unknown	10	SIDM00948	SIDS00496	SIDP00433
DK-MG	no available	Central Nervous System	Glioblastoma	Right parietal lobe	Glioblastoma	CVCL_1173	Homo Sapiens	Female	Unknown	67	SIDM00947	SIDS00497	SIDP00434
MZ1-B	no available	Haematopoietic and Lymphoid	Non-Cancerous	Peripheral Blood	Non-Cancerous	CVCL_VU73	Homo Sapiens	Male	Unknown	no available	SIDM01878	SIDS01698	SIDP00654
EFO-27	no available	Ovary	Ovarian Carcinoma	Omentum	Ovarian Mucinous Adenocarcinoma	CVCL_1192	Homo Sapiens	Female	Unknown	36	SIDM01051	SIDS00504	SIDP00441
CC-LP-1	no available	Biliary Tract	Biliary Tract Carcinoma	Liver	Intrahepatic Cholangiocarcinoma	CVCL_0205	Homo Sapiens	Female	White	48	SIDM01889	SIDS01736	SIDP01644
BJ	no available	Skin	Non-Cancerous	Foreskin	Non-Cancerous	CVCL_3653	Homo Sapiens	Male	Unknown	0	SIDM01891	SIDS01735	SIDP01643
Mero-48d	no available	Lung	Mesothelioma	Pericardium	Pleural Biphasic Mesothelioma	CVCL_W104	Homo Sapiens	Male	Unknown	no available	SIDM01893	SIDS01689	SIDP01605
Mero-83	no available	Lung	Mesothelioma	Pleural Effusion	Pleural Biphasic Mesothelioma	CVCL_2595	Homo Sapiens	Male	Unknown	no available	SIDM01895	SIDS01691	SIDP01607
TIG-3S	no available	Skin	Non-Cancerous	Fetal Skin	Non-Cancerous	CVCL_3210	Homo Sapiens	Male	East Asian	0	SIDM01899	SIDS01722	SIDP01633
21MT-2	no available	Breast	Breast Carcinoma	Pleural Effusion	Breast Carcinoma	CVCL_7932	Homo Sapiens	Female	Unknown	37	SIDM01901	SIDS01729	SIDP01640
Mero-41	no available	Lung	Mesothelioma	Pleural Effusion	Pleural Epithelioid Mesothelioma	CVCL_2592	Homo Sapiens	Male	Unknown	no available	SIDM01903	SIDS01685	SIDP01604
Mero-84	no available	Lung	Mesothelioma	Pleural Effusion	Pleural Biphasic Mesothelioma	CVCL_2596	Homo Sapiens	Male	Unknown	no available	SIDM01905	SIDS01692	SIDP01608
MM415	no available	Skin	Melanoma	Lymph Node	Melanoma	CVCL_2608	Homo Sapiens	Unknown	Unknown	no available	SIDM01907	SIDS01694	SIDP01610
UM-UC-5	no available	Bladder	Bladder Carcinoma	Bladder	Bladder Carcinoma	CVCL_2750	Homo Sapiens	Female	Unknown	no available	SIDM01909	SIDS01726	SIDP01637
TTC-466	no available	Bone	Ewing's Sarcoma	Pleural Effusion	Ewing's Sarcoma	CVCL_A444	Homo Sapiens	Female	Unknown	no available	SIDM01911	SIDS01724	SIDP01635
U-HO1-PTPN1	no available	Haematopoietic and Lymphoid	Hodgkin's Lymphoma	Pleural Effusion	Hodgkin's Lymphoma	CVCL_UI40	Homo Sapiens	Male	Unknown	23	SIDM01913	SIDS01801	SIDP01702
SKG-II-LUC	no available	Cervix	Cervical Carcinoma	Uterine Cervix	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	CVCL_4J76	Homo Sapiens	Female	East Asian	50	SIDM01915	SIDS01791	SIDP01693
SKG-II-SF	no available	Cervix	Cervical Carcinoma	Uterine Cervix	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	CVCL_8159	Homo Sapiens	Female	East Asian	50	SIDM01917	SIDS01791	SIDP01693
RCC4-emptyvector	no available	Kidney	Kidney Carcinoma	Kidney	Clear Cell Renal Cell Carcinoma	CVCL_UY81	Homo Sapiens	Unknown	Unknown	no available	SIDM01921	SIDS01788	SIDP01690
RMZ-RC5	no available	Soft Tissue	Rhabdomyosarcoma	Bone Marrow	Alveolar Rhabdomyosarcoma	CVCL_L511	Homo Sapiens	Male	White	3	SIDM01923	SIDS01711	SIDP01623
UT-7-EPO	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Bone Marrow	Adult Acute Megakaryoblastic Leukemia	CVCL_5202	Homo Sapiens	Male	Unknown	64	SIDM01925	SIDS01727	SIDP01638
UT-7-TPO	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Bone Marrow	Adult Acute Megakaryoblastic Leukemia	CVCL_5204	Homo Sapiens	Male	Unknown	64	SIDM01931	SIDS01727	SIDP01638
KCI-MOH1	no available	Pancreas	Pancreatic Carcinoma	Pancreas	Pancreatic Adenocarcinoma	CVCL_2090	Homo Sapiens	Female	White	64	SIDM01933	SIDS00157	SIDP00123
A375_CJ1	no available	Skin	Melanoma	Skin	Amelanotic Melanoma	CVCL_A1VP	Homo Sapiens	Female	Unknown	54	SIDM01935	SIDS00069	SIDP00054
A375_CJ2	no available	Skin	Melanoma	Skin	Amelanotic Melanoma	no available	Homo Sapiens	Female	Unknown	54	SIDM01937	SIDS00069	SIDP00054
GLC-82	no available	Cervix	Cervical Carcinoma	Cervix	Cervical Adenocarcinoma	CVCL_3371	Homo Sapiens	Female	Black	31	SIDM01939	SIDS00019	SIDP00015
1181N1	no available	Central Nervous System	Glioma	Brain	Astrocytoma	CVCL_D317	Homo Sapiens	Male	White	50	SIDM01941	SIDS00414	SIDP00357
BJ1-hTERT	no available	Skin	Non-Cancerous	Foreskin	Non-Cancerous	CVCL_6573	Homo Sapiens	Male	Unknown	0	SIDM01927	SIDS01735	SIDP01643
PrEC-LH	no available	Prostate	Non-Cancerous	Unknown	Non-Cancerous	CVCL_V626	Homo Sapiens	Unknown	Unknown	no available	SIDM01871	SIDS01710	SIDP01622
A375_CJ3	no available	Skin	Melanoma	Skin	Amelanotic Melanoma	CVCL_B3PJ	Homo Sapiens	Female	Unknown	54	SIDM01936	SIDS00069	SIDP00054
BGC-823	no available	Cervix	Cervical Carcinoma	Cervix	Cervical Adenocarcinoma	CVCL_3360	Homo Sapiens	Female	Black	31	SIDM01938	SIDS00019	SIDP00015
CMK-86	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral Blood	Childhood Acute Megakaryoblastic Leukemia	CVCL_2804	Homo Sapiens	Male	Unknown	0	SIDM01940	SIDS01738	SIDP00422
1321N1	no available	Central Nervous System	Glioma	Brain	Astrocytoma	CVCL_0110	Homo Sapiens	Male	White	50	SIDM01967	SIDS00414	SIDP00357
NCI-BL1339	no available	Haematopoietic and Lymphoid	Non-Cancerous	Blood	Non-Cancerous	CVCL_2637	Homo Sapiens	Female	White	49	SIDM01386	SIDS01411	SIDP01293
H16N2	no available	Breast	Non-Cancerous	Unknown	Non-Cancerous	CVCL_IP82	Homo Sapiens	Female	Unknown	no available	SIDM01809	SIDS01745	SIDP01640
EN	no available	Endometrium	Endometrial Carcinoma	Cervical endometrium	Endometrial Carcinoma	CVCL_2034	Homo Sapiens	Female	East Asian	50	SIDM01045	SIDS00510	SIDP00446
HCC-15	HCC0015	Lung	Squamous Cell Lung Carcinoma	Unknown	Squamous Cell Lung Carcinoma	CVCL_2057	Homo Sapiens	Male	Unknown	47	SIDM01072	SIDS00521	SIDP00457
KCL-22	KCL22S	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	Pleural effusion	Chronic Myelogenous Leukemia	CVCL_2091	Homo Sapiens	Female	Unknown	32	SIDM01004	SIDS00551	SIDP00485
MZ7-B	no available	Haematopoietic and Lymphoid	Non-Cancerous	Peripheral Blood	Non-Cancerous	CVCL_VU72	Homo Sapiens	Female	Unknown	no available	SIDM01879	SIDS01699	SIDP00791
NCI-H524	no available	Lung	Small Cell Lung Carcinoma	Lymph node 	Small Cell Lung Carcinoma	CVCL_1568	Homo Sapiens	Male	White	63	SIDM01129	SIDS00305	SIDP00252
NCI-H526	no available	Lung	Small Cell Lung Carcinoma	Bone marrow	Small Cell Lung Carcinoma	CVCL_1569	Homo Sapiens	Male	White	55	SIDM01128	SIDS00306	SIDP00253
SNU-1	NCI-SNU-1	Stomach	Gastric Carcinoma	Stomach	Gastric Carcinoma	CVCL_0099	Homo Sapiens	Male	East Asian	44	SIDM01146	SIDS00326	SIDP00273
NTERA-2-cl-D1	NT2-D1;NTERA-2 clone D1;NTERA-2/D1	Testis	Other Solid Cancers	Lung	Testicular Embryonal Carcinoma	CVCL_3407	Homo Sapiens	Male	White	22	SIDM01203	SIDS00330	SIDP00277
PANC-08-13	Panc 8.13;Pa14C;PL9	Pancreas	Pancreatic Carcinoma	Pancreas	Pancreatic Ductal Adenocarcinoma	CVCL_1638	Homo Sapiens	Male	White	85	SIDM01136	SIDS00336	SIDP00283
RKO	no available	Large Intestine	Colorectal Carcinoma	Colon	Colon Carcinoma	CVCL_0504	Homo Sapiens	Unknown	Unknown	no available	SIDM01090	SIDS00344	SIDP00289
RL95-2	no available	Endometrium	Endometrial Carcinoma	Endometrium	Adenosquamous Endometrial Carcinoma	CVCL_0505	Homo Sapiens	Female	White	65	SIDM01088	SIDS00346	SIDP00291
RS4-11	no available	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Bone marrow	Adult B Acute Lymphoblastic Leukemia	CVCL_0093	Homo Sapiens	Female	White	32	SIDM01086	SIDS00348	SIDP00293
SJSA-1	OsA-CL	Bone	Osteosarcoma	Femur	Osteosarcoma	CVCL_1697	Homo Sapiens	Male	Black	19	SIDM01112	SIDS00359	SIDP00304
SK-UT-1	no available	Uterus	Other Sarcomas	Uterus	Uterine Corpus Leiomyosarcoma	CVCL_0533	Homo Sapiens	Female	White	75	SIDM01113	SIDS00376	SIDP00320
ZR-75-30	no available	Breast	Breast Carcinoma	Ascites	Invasive Ductal Carcinoma Not Otherwise Specified	CVCL_1661	Homo Sapiens	Female	Black	47	SIDM00971	SIDS00436	SIDP00373
HUH-6-clone5	HuH-6 cl-5;HuH6-C15;JTC38	Liver	Hepatocellular Carcinoma	Unknown	Hepatoblastoma	CVCL_1296	Homo Sapiens	Male	East Asian	1	SIDM01257	SIDS00759	SIDP00681
J-RT3-T3-5	Jurkat RT3-T3.5	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Peripheral Blood	Childhood T Acute Lymphoblastic Leukemia	CVCL_1316	Homo Sapiens	Male	Unknown	14	SIDM01263	SIDS00539	SIDP00474
BB65-EBV	no available	Unknown	Non-Cancerous	Unknown	no available	CVCL_6F66	Homo Sapiens	Male	Unknown	no available	SIDM01721	SIDS01544	SIDP00560
BE-13	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Peripheral Blood	Childhood T Acute Lymphoblastic Leukemia	CVCL_1081	Homo Sapiens	Female	Unknown	4	SIDM01245	SIDS00454	SIDP00391
HA1E	no available	Kidney	Non-Cancerous	Unknown	Non-Cancerous	CVCL_VU89	Homo Sapiens	Unknown	Unknown	no available	SIDM01712	SIDS01553	SIDP01499
ORL-48	no available	Head and Neck	Oral Cavity Carcinoma	Gingiva	Gingival Squamous Cell Carcinoma	CVCL_S692	Homo Sapiens	Female	South Asian	79	SIDM01987	SIDS01870	SIDP01766
WPE1-NA22	no available	Prostate	Non-Cancerous	Prostate	Non-Cancerous	CVCL_3810	Homo Sapiens	Male	White	54	SIDM01932	SIDS00785	SIDP00703
B240	no available	Haematopoietic and Lymphoid	Non-Cancerous	Peripheral blood	Non-Cancerous	CVCL_L056	Homo Sapiens	Male	Unknown	26	SIDM01683	SIDS01634	SIDP01559
NCI-BL1819	no available	Haematopoietic and Lymphoid	Non-Cancerous	Peripheral blood	Non-Cancerous	CVCL_E099	Homo Sapiens	Female	White	55	SIDM01673	SIDS01644	SIDP00196
NCI-BL2347	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_2656	Homo Sapiens	Female	White	54	SIDM00725	SIDS00292	SIDP00239
NCI-BL1184	no available	Haematopoietic and Lymphoid	Non-Cancerous	Peripheral blood	Non-Cancerous	CVCL_2635	Homo Sapiens	Male	White	42	SIDM01678	SIDS01639	SIDP01561
HEK-TE	no available	Kidney	Non-Cancerous	Unknown	Non-Cancerous	CVCL_WS59	Homo Sapiens	Unknown	Unknown	no available	SIDM01723	SIDS01555	SIDP01500
B239	no available	Haematopoietic and Lymphoid	Non-Cancerous	Peripheral blood	Non-Cancerous	CVCL_L055	Homo Sapiens	Male	Unknown	26	SIDM01684	SIDS01634	SIDP01559
RWPE-2	no available	Prostate	Non-Cancerous	Prostate	Non-Cancerous	CVCL_3792	Homo Sapiens	Male	White	54	SIDM01234	SIDS00785	SIDP00703
PG-B95-8	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_Y555	Homo Sapiens	Male	White	no available	SIDM01849	SIDS01786	SIDP01688
NCI-BL2141	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_2653	Homo Sapiens	Male	White	58	SIDM00714	SIDS00281	SIDP00230
BB30-PBL	no available	Unknown	Non-Cancerous	Unknown	no available	CVCL_VU86	Homo Sapiens	Female	Unknown	no available	SIDM01638	SIDS01542	SIDP00558
C3A	Hep-G2/C3A	Liver	Hepatocellular Carcinoma	Unknown	Hepatoblastoma	CVCL_1098	Homo Sapiens	Male	White	15	SIDM01237	SIDS00090	SIDP00073
CGTH-W-1	no available	Thyroid	Thyroid Gland Carcinoma	Unknown	Thyroid Gland Anaplastic Carcinoma Squamous Cell Carcinoma Pattern	CVCL_1120	Homo Sapiens	Male	White	59	SIDM01248	SIDS00395	SIDP00339
HA7-EBV	no available	Unknown	Non-Cancerous	Unknown	no available	CVCL_E909	Homo Sapiens	Male	Unknown	no available	SIDM01711	SIDS01554	SIDP00564
HCC1143-BL	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_1246	Homo Sapiens	Female	White	52	SIDM00868	SIDS00130	SIDP00105
HCC1937-BL	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_3281	Homo Sapiens	Female	White	23	SIDM00873	SIDS00144	SIDP00114
HCC2157-BL	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_1262	Homo Sapiens	Female	Black	48	SIDM00773	SIDS00149	SIDP00117
HCC2218-BL	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_1264	Homo Sapiens	Female	White	38	SIDM00696	SIDS00151	SIDP00118
HCC38-BL	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_1268	Homo Sapiens	Female	White	50	SIDM00674	SIDS00153	SIDP00119
HO-1-N-1	Nakata-1	Head and Neck	Oral Cavity Carcinoma	Buccal mucosa	Oral Cavity Squamous Cell Carcinoma	CVCL_1284	Homo Sapiens	Male	Unknown	no available	SIDM00592	SIDS00966	SIDP00864
IMR-5	IMR-05	Peripheral Nervous System	Neuroblastoma	Abdominal Mass	Neuroblastoma	CVCL_1306	Homo Sapiens	Male	White	1	SIDM01206	SIDS00597	SIDP00527
L542	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_VU88	Homo Sapiens	Female	Unknown	no available	SIDM01653	SIDS01609	SIDP00510
LB1047-EBV	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_E908	Homo Sapiens	Female	Unknown	no available	SIDM01652	SIDS01610	SIDP00565
LB2241-EBV	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_VU68	Homo Sapiens	Male	Unknown	no available	SIDM01651	SIDS01611	SIDP00566
LB2518-EBV	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_E914	Homo Sapiens	Female	Unknown	no available	SIDM01650	SIDS01612	SIDP00567
LB373-EBV	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_E917	Homo Sapiens	Female	Unknown	no available	SIDM01649	SIDS01613	SIDP00568
LB831-EBV	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_E913	Homo Sapiens	Male	Unknown	no available	SIDM01646	SIDS01616	SIDP00571
LS1034-PBL	no available	Haematopoietic and Lymphoid	Non-Cancerous	Peripheral blood	Non-Cancerous	CVCL_VV29	Homo Sapiens	Male	White	no available	SIDM01641	SIDS01621	SIDP00149
NCI-BL209	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_2649	Homo Sapiens	Male	White	55	SIDM00705	SIDS00274	SIDP00225
NCI-BL2171	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_2654	Homo Sapiens	Male	White	50	SIDM00717	SIDS00284	SIDP00232
Ramos-2G6-4C10	Ramos.G6.C10	Haematopoietic and Lymphoid	Burkitt's Lymphoma	Unknown	Burkitt's Lymphoma	CVCL_1646	Homo Sapiens	Male	White	3	SIDM01247	SIDS00341	SIDP00287
TUR	TPA-U937-resistant	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Unknown	Adult Acute Monocytic Leukemia	CVCL_1775	Homo Sapiens	Male	White	37	SIDM01205	SIDS00413	SIDP00356
YMB-1-E	no available	Breast	Breast Carcinoma	Ascites	Invasive Ductal Carcinoma Not Otherwise Specified	CVCL_2815	Homo Sapiens	Female	White	63	SIDM01261	SIDS01089	SIDP00978
ARH-77	no available	Haematopoietic and Lymphoid	Non-Cancerous	Peripheral Blood	Non-Cancerous	CVCL_1072	Homo Sapiens	Female	White	33	SIDM00900	SIDS00078	SIDP00062
C2BBe1	Caco-2/BBe 1	Large Intestine	Colorectal Carcinoma	Colon	Colon Adenocarcinoma	CVCL_1096	Homo Sapiens	Male	White	72	SIDM01233	SIDS00087	SIDP00070
HK-2	no available	Kidney	Non-Cancerous	Kidney	Non-Cancerous	CVCL_0302	Homo Sapiens	Male	Unknown	no available	SIDM01818	SIDS01755	SIDP01661
TIG-3TD	no available	Lung	Non-Cancerous	Fetal Lung	Non-Cancerous	CVCL_V617	Homo Sapiens	Male	East Asian	0	SIDM01924	SIDS01721	SIDP01633
C666-1	no available	Head and Neck	Head and Neck Carcinoma	Nasopharynx	Nasopharyngeal Undifferentiated Carcinoma	CVCL_7949	Homo Sapiens	Male	East Asian	no available	SIDM01988	SIDS01890	SIDP01786
C17	no available	Head and Neck	Head and Neck Carcinoma	Skin	Nasopharyngeal Carcinoma	CVCL_VT47	Homo Sapiens	Male	White	38	SIDM01989	SIDS01889	SIDP01785
NPC268	no available	Head and Neck	Head and Neck Carcinoma	Nasopharynx	Nasopharyngeal Differentiated Carcinoma	no available	Homo Sapiens	Female	East Asian	39	SIDM01990	SIDS01888	SIDP01784
NPC53	no available	Head and Neck	Head and Neck Carcinoma	Nasopharynx	Nasopharyngeal Undifferentiated Carcinoma	CVCL_UH65	Homo Sapiens	Male	East Asian	39	SIDM01991	SIDS01887	SIDP01783
NPC43	no available	Head and Neck	Head and Neck Carcinoma	Nasopharynx	Nasopharyngeal Undifferentiated Carcinoma	CVCL_UH64	Homo Sapiens	Male	East Asian	64	SIDM01992	SIDS01886	SIDP01782
NPC38	no available	Head and Neck	Head and Neck Carcinoma	Nasopharynx	Nasopharyngeal Carcinoma	CVCL_UH63	Homo Sapiens	Female	East Asian	63	SIDM01993	SIDS01885	SIDP01781
OKF6-TERT-1	no available	Head and Neck	Non-Cancerous	Mouth floor	no available	CVCL_L224	Homo Sapiens	Male	Unknown	57	SIDM01994	SIDS01884	SIDP01780
ORL-215	no available	Head and Neck	Oral Cavity Carcinoma	Tongue	Tongue Squamous Cell Carcinoma	CVCL_VJ48	Homo Sapiens	Male	South Asian	50	SIDM01995	SIDS01883	SIDP01779
ORL-214	no available	Head and Neck	Oral Cavity Carcinoma	Buccal Mucosa	Buccal Mucosa Squamous Cell Carcinoma	CVCL_VJ47	Homo Sapiens	Female	South Asian	49	SIDM01996	SIDS01882	SIDP01778
HK1	no available	Head and Neck	Head and Neck Carcinoma	Nasopharynx	Nasopharyngeal Differentiated Carcinoma	CVCL_7084	Homo Sapiens	Male	East Asian	58	SIDM01997	SIDS01891	SIDP01787
ORL-207	no available	Head and Neck	Oral Cavity Carcinoma	Tongue	Tongue Squamous Cell Carcinoma	CVCL_VJ46	Homo Sapiens	Female	South Asian	63	SIDM01998	SIDS01881	SIDP01777
ORL-195	no available	Head and Neck	Oral Cavity Carcinoma	Buccal Mucosa	Buccal Mucosa Squamous Cell Carcinoma	CVCL_VJ43	Homo Sapiens	Female	South Asian	61	SIDM01999	SIDS01879	SIDP01775
ORL-188	no available	Head and Neck	Oral Cavity Carcinoma	Tongue	Tongue Squamous Cell Carcinoma	CVCL_VJ42	Homo Sapiens	Male	South Asian	56	SIDM02000	SIDS01878	SIDP01774
ORL-174	no available	Head and Neck	Oral Cavity Carcinoma	Tongue	Tongue Squamous Cell Carcinoma	CVCL_VJ41	Homo Sapiens	Female	South Asian	53	SIDM02001	SIDS01877	SIDP01773
ORL-166	no available	Head and Neck	Oral Cavity Carcinoma	Tongue	Tongue Squamous Cell Carcinoma	CVCL_VJ40	Homo Sapiens	Female	South Asian	66	SIDM02002	SIDS01876	SIDP01772
ORL-156	no available	Head and Neck	Oral Cavity Carcinoma	Tongue	Tongue Squamous Cell Carcinoma	CVCL_VJ39	Homo Sapiens	Male	East Asian	38	SIDM02003	SIDS01875	SIDP01771
ORL-153	no available	Head and Neck	Oral Cavity Carcinoma	Tongue	Tongue Squamous Cell Carcinoma	CVCL_VJ38	Homo Sapiens	Male	South Asian	36	SIDM02004	SIDS01874	SIDP01770
ORL-150	no available	Head and Neck	Oral Cavity Carcinoma	Gingiva	Gingival Squamous Cell Carcinoma	CVCL_VJ37	Homo Sapiens	Male	South Asian	76	SIDM02005	SIDS01873	SIDP01769
ORL-136	no available	Head and Neck	Oral Cavity Carcinoma	Tongue	Tongue Squamous Cell Carcinoma	CVCL_S691	Homo Sapiens	Male	South Asian	56	SIDM02006	SIDS01872	SIDP01768
ORL-115	no available	Head and Neck	Oral Cavity Carcinoma	Gingiva	Gingival Squamous Cell Carcinoma	CVCL_S690	Homo Sapiens	Female	South Asian	75	SIDM02007	SIDS01871	SIDP01767
ORL-204	no available	Head and Neck	Oral Cavity Carcinoma	Buccal Mucosa	Buccal Mucosa Squamous Cell Carcinoma	CVCL_VJ45	Homo Sapiens	Male	South Asian	76	SIDM02008	SIDS01880	SIDP01776
CP50-EBV	no available	Unknown	Non-Cancerous	Unknown	no available	CVCL_UY79	Homo Sapiens	Male	Unknown	no available	SIDM01716	SIDS01549	SIDP00561
GR-ST	no available	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Unknown	Childhood B Acute Lymphoblastic Leukemia	CVCL_1236	Homo Sapiens	Male	Unknown	10	SIDM01259	SIDS00667	SIDP00595
H9	HT clone H9;HT(H9)	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Unknown	Mycosis Fungoides and Sezary Syndrome	CVCL_1240	Homo Sapiens	Male	White	53	SIDM01251	SIDS00128	SIDP00104
HCC1187-BL	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_1248	Homo Sapiens	Female	White	41	SIDM00869	SIDS00132	SIDP00106
HCC1395-BL	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_1250	Homo Sapiens	Female	White	43	SIDM00883	SIDS00134	SIDP00107
HCC1599-BL	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_1257	Homo Sapiens	Female	White	44	SIDM00876	SIDS00141	SIDP00112
IM-9	GM04680	Haematopoietic and Lymphoid	Non-Cancerous	Peripheral Blood	Non-Cancerous	CVCL_1305	Homo Sapiens	Female	Unknown	no available	SIDM00632	SIDS00195	SIDP00158
IST-MES1	no available	Lung	Mesothelioma	Unknown	Pleural Epithelioid Mesothelioma	CVCL_1311	Homo Sapiens	Female	White	70	SIDM00224	SIDS00599	SIDP00529
