cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
SNU-201	SNU-201	CVCL_5033	no available	Homo Sapiens	Brain	Brain	58Y	Adult	Male	Korean	Glioblastoma	no available	cell	SNU201; NCI-SNU-201	curated
SNU-213	SNU-213	CVCL_5034	no available	Homo Sapiens	Pancreas	Pancreas	65Y	Elderly	Male	Korean	Pancreatic adenocarcinoma	no available	cell	NCI-SNU-213; SNU213	curated
SNU-245	SNU-245	CVCL_5038	no available	Homo Sapiens	Biliary Tract	Common bile duct	no available	no available	no available	Korean	Cholangiocarcinoma	no available	cell	NCI-SNU-245; SNU245	curated
SNU-283	SNU-283	CVCL_5044	no available	Homo Sapiens	Large Intestine	Omentum	62Y	Adult	Female	Korean	Colorectal carcinoma	no available	cell	NCI-SNU-283; SNU283	curated
SNU-308	SNU-308	CVCL_5048	no available	Homo Sapiens	Biliary Tract	Gallbladder	no available	no available	no available	Korean	Bladder carcinoma	no available	cell	SNU308; NCI-SNU-308	curated
SNU-324	SNU-324	CVCL_5051	no available	Homo Sapiens	Pancreas	Pancreas	50Y	Adult	Male	Korean	Pancreatic adenocarcinoma	no available	cell	SNU324; NCI-SNU-324	curated
SNU-349	SNU-349	CVCL_5054	no available	Homo Sapiens	Kidney	Kidney	68Y	Elderly	Male	Korean	Clear cell renal cell carcinoma	no available	cell	SNU349; NCI-SNU-349	curated
SNU-407	SNU-407	CVCL_5058	no available	Homo Sapiens	Large Intestine	Buttock	37Y	Adult	Male	Korean	Colon adenocarcinoma	no available	cell	SNU407; NCI-SNU-407	curated
SNU-410	SNU-410	CVCL_5059	no available	Homo Sapiens	Pancreas	Liver	53Y	Adult	Male	Korean	Pancreatic adenocarcinoma	no available	cell	NCI-SNU-410; SNU410	curated
SNU-46	SNU-46	CVCL_5063	SNU-46 cell	Homo Sapiens	Larynx	Larynx	65Y	Elderly	Male	Korean	Laryngeal squamous cell carcinoma	no available	cell	SNU46 CELL; SNU 46 CELL; SNU46	curated
SNU-466	SNU-466	CVCL_5064	no available	Homo Sapiens	Brain	Brain	61Y	Adult	Male	Korean	Glioblastoma	no available	cell	NCI-SNU-466; SNU466	curated
SNU-478	SNU-478	CVCL_5065	no available	Homo Sapiens	Biliary Tract	Ampulla of vater; Pancreas	no available	no available	no available	Korean	Ampulla of vater adenocarcinoma	no available	cell	SNU478; NCI-SNU-478	curated
SNU-489	SNU-489	CVCL_5069	no available	Homo Sapiens	Brain	Brain	54Y	Adult	Male	Korean	Glioblastoma	no available	cell	SNU489; NCI-SNU-489	curated
SNU-503	SNU-503	CVCL_5071	no available	Homo Sapiens	Large Intestine	Abdominal wall	52Y	Adult	Male	Korean	Colorectal carcinoma	no available	cell	NCI-SNU-503; SNU503	curated
SNU-520	SNU-520	CVCL_5072	no available	Homo Sapiens	Stomach	Stomach	60Y	Adult	Female	Korean	Gastric adenocarcinoma	no available	cell	NCI-SNU-520; SNU520	curated
SNU-61	SNU-61	CVCL_5078	no available	Homo Sapiens	Colon	Liver	48Y	Adult	Male	Korean	Colorectal carcinoma	no available	cell	SNU61; NCI-SNU-61	curated
SNU-620	SNU-620	CVCL_5079	SNU-620 cell	Homo Sapiens	Stomach	Ascites	59Y	Adult	Female	Korean	Gastric adenocarcinoma	no available	cell	SNU620; NCI-SNU-620	curated
SNU-626	SNU-626	CVCL_5080	no available	Homo Sapiens	Brain	Brain	65Y	Elderly	Male	Korean	Glioblastoma	no available	cell	SNU626; NCI-SNU-626	curated
SNU-668	SNU-668	CVCL_5081	no available	Homo Sapiens	Stomach	Ascites	63Y	Adult	Male	Korean	Gastric signet ring cell adenocarcinoma	no available	cell	SNU668; NCI-SNU-668	curated
SNU-685	SNU-685	CVCL_5083	no available	Homo Sapiens	Uterus	Endometrium	70Y	Elderly	Female	Korean	Uterine carcinosarcoma	no available	cell	SNU685; NCI-SNU-685	curated
SNU-719	SNU-719	CVCL_5086	SNU-719 cell	Homo Sapiens	Stomach	Stomach	53Y	Adult	Male	Korean	Gastric tubular adenocarcinoma	no available	cell	SNU719 CELL; NCI-SNU-719; SNU719	curated
SNU-738	SNU-738	CVCL_5087	no available	Homo Sapiens	Brain	Brain	40Y	Adult	Male	Korean	Oligodendroglioma	no available	cell	NCI-SNU-738; SNU738	curated
SNU-739	SNU-739	CVCL_5088	no available	Homo Sapiens	Liver	Liver	52Y	Adult	Male	Korean	Adult hepatocellular carcinoma	no available	cell	SNU739	curated
SNU-761	SNU-761	CVCL_5089	no available	Homo Sapiens	Liver	Liver	49Y	Adult	Male	Korean	Adult hepatocellular carcinoma	no available	cell	SNU761; NCI-SNU-761	curated
SNU-8	SNU-8	CVCL_5096	no available	Homo Sapiens	Ovary	Ascites	55Y	Adult	Female	Korean	Ovarian serous cystadenocarcinoma	no available	cell	SNU8	curated
SNU-81	SNU-81	CVCL_5098	no available	Homo Sapiens	Colon	Colon	53Y	Adult	Male	Korean	Colon adenocarcinoma	no available	cell	SNU81; NCI-SNU-81	curated
SNU-840	SNU-840	CVCL_5100	no available	Homo Sapiens	Ovary	Ovary	45Y	Adult	Female	Korean	Malignant ovarian brenner tumor	no available	cell	NCI-SNU-840; SNU840	curated
SNU-869	SNU-869	CVCL_5101	no available	Homo Sapiens	Biliary Tract	Ampulla of vater; Pancreas	no available	no available	no available	Korean	Ampulla of vater adenocarcinoma	no available	cell	SNU869	curated
SNU-878	SNU-878	CVCL_5102	no available	Homo Sapiens	Liver	Liver	54Y	Adult	Female	Korean	Adult hepatocellular carcinoma	no available	cell	NCI-SNU-878; SNU878	curated
SNU-886	SNU-886	CVCL_5103	no available	Homo Sapiens	Liver	Liver	57Y	Adult	Male	Korean	Adult hepatocellular carcinoma	no available	cell	SNU886; NCI-SNU-886	curated
SNU-899	SNU-899	CVCL_5105	SNU-899 cell	Homo Sapiens	Head and Neck	Larynx (glottic); Larynx	56Y	Adult	Male	Korean	Laryngeal squamous cell carcinoma	no available	cell	NCI-SNU-899; SNU899; SNU 899 CELL; SNU899 CELL	curated
SNU-C4	SNU-C4	CVCL_5111	no available	Homo Sapiens	Large Intestine	Transverse colon	35Y	Adult	Male	Korean	Colon adenocarcinoma	no available	cell	C4; SNU C4; NCI-SNU-C4; SNUC4	curated
SNU-C5	SNU-C5	CVCL_5112	no available	Homo Sapiens	Large Intestine	Cecum; Colon	77Y	Elderly	Female	Korean	Cecum adenocarcinoma	no available	cell	NCI-SNU-C5; SNU-C5/WT; SNUC5	curated
ACC-MESO-1	ACC-MESO-1	CVCL_5113	no available	Homo Sapiens	Lung	Lung; Pleura	61Y	Adult	Female	Japanese	Pleural epithelioid mesothelioma	no available	cell	MESO-1; ACCMESO1; ACC-MESO-1	curated
HCC1171	HCC1171	CVCL_5126	HCC-1171 cell	Homo Sapiens	Lung	Lung	58Y	Adult	Male	Caucasian	Lung adenocarcinoma	no available	cell	HCC 1171 CELL; HCC1171 CELL; HAMON CANCER CENTER 1171; HCC-1171	curated
HCC1195	HCC1195	CVCL_5127	no available	Homo Sapiens	Lung	Lung	47Y	Adult	Male	African American	Lung adenosquamous carcinoma	no available	cell	HCC-1195; HAMON CANCER CENTER 1195	curated
HCC1359	HCC1359	CVCL_5128	no available	Homo Sapiens	Lung	Lung	55Y	Adult	Female	African American	Lung giant cell carcinoma	no available	cell	HAMON CANCER CENTER 1359; HCC-1359	curated
HCC1833	HCC1833	CVCL_5129	HCC-1833 cell	Homo Sapiens	Lung	Lung	69Y	Elderly	no available	no available	Lung adenocarcinoma	no available	cell	HCC-1833; HCC1833 CELL; HAMON CANCER CENTER 1833	curated
HCC2279	HCC2279	CVCL_5131	HCC-2279 cell	Homo Sapiens	Lung	Lung	52Y	Adult	Female	Asian	Lung adenosquamous carcinoma	no available	cell	HCC2279 CELL; HCC-2279; HAMON CANCER CENTER 2279	curated
HCC2429	HCC2429	CVCL_5132	no available	Homo Sapiens	Lung	Lung	34Y	Adult	Female	no available	Nut carcinoma; Non-small cell lung carcinoma	no available	cell	HCC-2429; HAMON CANCER CENTER 2429	curated
HCC-2450	HCC2450	CVCL_5133	no available	Homo Sapiens	Lung	Lung	52Y	Adult	Male	Caucasian	Squamous cell lung carcinoma	no available	cell	HAMON CANCER CENTER 2450; HCC-2450	curated
HCC-364	HCC364	CVCL_5134	no available	Homo Sapiens	Lung	no available	76Y	Elderly	no available	Caucasian	Lung adenocarcinoma	no available	cell	HCC-364; HAMON CANCER CENTER 364; HCC0364	curated
HCC461	HCC461	CVCL_5135	no available	Homo Sapiens	Lung	Lung	69Y	Elderly	no available	Caucasian	Lung adenocarcinoma	no available	cell	HAMON CANCER CENTER 461; HCC0461	curated
HCC515	HCC515	CVCL_5136	no available	Homo Sapiens	Lung	Lymph node	39Y	Adult	no available	Caucasian	Lung adenocarcinoma	no available	cell	HCC0515; HCC-515; HAMON CANCER CENTER 515	curated
HCC95	HCC95	CVCL_5137	HCC-95 cell	Homo Sapiens	Lung	Pleural effusion	65Y	Elderly	Male	Caucasian	Squamous cell lung carcinoma	no available	cell	HAMON CANCER CENTER 95; HCC95 CELL; HCC 95 CELL; HCC0095; HCC-95	curated
HCE-7	HCE-7	CVCL_5138	HCE-7 cell	Homo Sapiens	Esophagus	Esophagus	50Y	Adult	no available	African American	Esophageal squamous cell carcinoma	no available	cell	HCE-7 (NM); HCE7; HCE-7(NM); HCE7 CELL	curated
K029	K029	CVCL_5143	no available	Homo Sapiens	Skin	no available	no available	no available	no available	Caucasian	Cutaneous melanoma	no available	cell	K029	curated
KLM-1	KLM-1	CVCL_5146	no available	Homo Sapiens	Pancreas	Liver	no available	no available	no available	Japanese	Pancreatic ductal adenocarcinoma	no available	cell	KLM1	curated
NCI-H2077	NCI-H2077	CVCL_5157	no available	Homo Sapiens	Lung	Lymph node	58Y	Adult	Male	White	Lung adenocarcinoma	no available	cell	H-2077; H2077; NCIH2077	curated
NCI-H2882	NCI-H2882	CVCL_5158	no available	Homo Sapiens	Lung	Pleural effusion	61Y	Adult	Female	no available	Squamous cell lung carcinoma	no available	cell	H2882; H-2882; NCIH2882	curated
NCI-H2887	NCI-H2887	CVCL_5159	no available	Homo Sapiens	Lung	Lung	31Y	Adult	no available	no available	Squamous cell lung carcinoma	no available	cell	H-2887; H2887; NCIH2887	curated
NCI-H3122	NCI-H3122	CVCL_5160	no available	Homo Sapiens	Lung	Pleural effusion	54Y	Adult	Male	Caucasian	Lung adenocarcinoma	no available	cell	H-3122; H3122; NCIH3122	curated
SH-10-TC	SH-10-TC	CVCL_5167	no available	Homo Sapiens	Stomach	Stomach	no available	no available	no available	Japanese	Gastric mucinous adenocarcinoma	no available	cell	SH-10; SH10TC	curated
UT-7-EPO	UT-7/Epo	CVCL_5202	no available	Homo Sapiens	Bone Marrow	Bone marrow	64Y	Adult	Male	Japanese	Adult acute megakaryoblastic leukemia	no available	cell	UT-7/EPO; UT7-EPO; UT-7-EPO	curated
UT-7-GM	UT-7/GM	CVCL_5203	no available	Homo Sapiens	Bone Marrow	Bone marrow	64Y	Adult	Male	Japanese	Adult acute megakaryoblastic leukemia	no available	cell	UT7-GM; UT-7-GM	curated
UT-7-TPO	UT-7/TPO	CVCL_5204	no available	Homo Sapiens	Bone Marrow	Bone marrow	64Y	Adult	Male	Japanese	Adult acute megakaryoblastic leukemia	no available	cell	UT7-TPO; UT-7-TPO	curated
INA-6	INA-6	CVCL_5209	INA-6 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	80Y	Elderly	no available	Caucasian	Plasma cell myeloma	no available	cell	INA6	curated
OPM-1	OPM-1	CVCL_5210	no available	Homo Sapiens	Blood	Peripheral blood	56Y	Adult	Female	Japanese	Plasma cell myeloma	no available	cell	OPM1	curated
OCI-AML-4	OCI-AML-4	CVCL_5224	no available	Homo Sapiens	no available	Peripheral blood	35Y	Adult	Female	no available	Adult acute myeloid leukemia	no available	cell	OCI/AML-4; OCI AML4; OCIAML4; OCI/AML4; ONTARIO CANCER INSTITUTE-ACUTE MYELOID LEUKEMIA-4; OCI-AML4	curated
1205Lu	1205Lu	CVCL_5239	1205-Lu cell	Homo Sapiens	Skin	Skin	37Y	Adult	Male	Caucasian	Cutaneous melanoma	no available	cell	WM-1205LU; LU1205; 1205-LU; WM 1205LU; WC00058; 1205LU CELL; WM1205; WM1205LU; 1205 LU CELL; 1205 LU	curated
C10	C10	CVCL_5245	no available	Homo Sapiens	Large Intestine	Descending; Colon	71Y	Elderly	Male	no available	Colon adenocarcinoma	no available	cell	C10	curated
C75	C75	CVCL_5248	no available	Homo Sapiens	Large Intestine	Sigmoid; Colon	56Y	Adult	Male	no available	Colon adenocarcinoma	no available	cell	C75	curated
C80	C80	CVCL_5249	no available	Homo Sapiens	Large Intestine	Rectum	69Y	Elderly	Male	no available	Colorectal carcinoma	no available	cell	C80	curated
C84	C84	CVCL_5250	no available	Homo Sapiens	Large Intestine	Caecum	67Y	Elderly	Male	no available	Cecum adenocarcinoma	no available	cell	C84	curated
SUM-159PT	SUM159PT	CVCL_5423	SUM-159PT cell	Homo Sapiens	Breast	Breast	71Y	Elderly	no available	no available	Pleomorphic breast carcinoma	no available	cell	SUM 159PT; SUM 159 CELL; SUM 159; SUM159 CELL; SUM-159 CELL; 159 PT; SUM 159PT CELL; SUM-159PT; SUM-159-PT; 159PT; SUM159; SUM-159; SUM159PT CELL	curated
LC-1-sq-SF	LC-1/sq-SF	CVCL_5480	no available	Homo Sapiens	Lung	Lung	69Y	Elderly	Male	Japanese	Squamous cell lung carcinoma	no available	cell	LC1_SQ-SF; LC-1-SQ-SF; LC1SQSF; LC-1/SQ-SERUM FREE	curated
HLC-1	HLC-1	CVCL_5529	no available	Homo Sapiens	Lung	Pleural effusion	no available	no available	no available	Japanese	Lung adenocarcinoma	epithelial cell	cell	HLC1	curated
IOSE-364(-)	IOSE-364	CVCL_5540	no available	Homo Sapiens	Ovary	Ovary; Surface epithelium	no available	no available	no available	no available	Ovarian carcinoma	ovarian surface epithelial cell	cell	IOSE364; IOSE-364(-); IOSE-364-; IOSE 364	curated
IOSE-397	IOSE-397	CVCL_5541	IOSE-397 cell	Homo Sapiens	Ovary	Ovary; Surface epithelium	no available	no available	no available	no available	Ovarian carcinoma	ovarian surface epithelial cell	cell	IOSE397; IOSE 397	curated
SUM-1315MO2	SUM1315MO2	CVCL_5589	SUM-1315MO2 cell	Homo Sapiens	Breast	Skin	no available	no available	no available	no available	Invasive breast carcinoma	no available	cell	SUM1315M02; SUM 1315M02; SUM1315-MO2 CELL; SUM-1315M02; SUM 1315 CELL; SUM 1315MO2 CELL; SUM-1315; SUM1315-MO2; SUM1315 CELL; SUM 1315; SUM1315MO2 CELL; SUM-1315 CELL; 1315M02; SUM1315	curated
SUM-185PE	SUM185PE	CVCL_5591	SUM-185PE cell	Homo Sapiens	Breast	Pleural effusion	no available	no available	no available	no available	Breast ductal carcinoma	no available	cell	SUM-185PE; SUM185PE CELL; SUM-185; SUM 185PE; SUM 185; SUM-185 CELL; SUM185 CELL; 185PE; SUM185; SUM 185 CELL	curated
SUM-229PE	SUM229PE	CVCL_5594	SUM-229PE cell	Homo Sapiens	Breast	Pleural effusion	no available	no available	Female	no available	Breast carcinoma	no available	cell	SUM-229; SUM-229 CELL; SUM 229 CELL; SUM-229PE; SUM 229PE; SUM 229; SUM229; 229PE; SUM 229PE CELL; SUM229PE CELL; SUM229 CELL	curated
TKKK	TKKK	CVCL_5599	no available	Homo Sapiens	Biliary Tract	Bile duct	no available	no available	no available	Japanese	Intrahepatic cholangiocarcinoma	no available	cell	TKKK	curated
TN-2	TN-2	CVCL_5602	no available	Homo Sapiens	Peripheral Nervous System	Adrenal gland; Left adrenal gland	no available	no available	no available	Japanese	Adrenal gland neuroblastoma	no available	cell	TN2	curated
NB-1643	NB-1643	CVCL_5627	NB-1643 cell	Homo Sapiens	Peripheral Nervous System	Retroperitoneal space; Retroperitoneal mass	3Y	Children	no available	no available	Neuroblastoma	no available	cell	NB 1643 CELL; NB1643; NB 1643; NB1643 CELL	curated
CH-157MN	CH-157MN	CVCL_5723	no available	Homo Sapiens	Brain	Meninges	41Y	Adult	no available	Caucasian	Meningioma	no available	cell	CH157MN; CH-157 MN; CH157-MN; CH-157-MN	curated
IOMM-Lee	IOMM-Lee	CVCL_5779	IOMM-Lee cell	Homo Sapiens	Brain	Cerebellar tentorium	61Y	Adult	Male	Chinese	Intracranial meningioma	no available	cell	INTRAOSSEOUS MALIGNANT MENINGIOMA-LEE; IOMMLEE; IOMM LEE; IOMM-LEE	curated
RCC-AB	KTCTL-21	CVCL_5868	no available	Homo Sapiens	Kidney	no available	49Y	Adult	Male	Caucasian	Clear cell renal cell carcinoma	no available	cell	RCCAB; KTCTL-21; RCC-AB; KTCTL21	curated
RCC-ER	KTCTL-13	CVCL_5870	no available	Homo Sapiens	Kidney	Kidney	57Y	Adult	Male	Caucasian	Clear cell renal cell carcinoma	no available	cell	RCC-ER; KTCTL 13; KTCTL-13; RCCER; KTCTL13	curated
RCC-FG2	KTCTL-26A	CVCL_5873	no available	Homo Sapiens	Kidney	Kidney	77Y	Elderly	Male	Caucasian	Clear cell renal cell carcinoma	no available	cell	KTCTL26A; KTCTL-26A; RCC-FG2; RCCFG2	curated
RCC-JF	KTCTL-140	CVCL_5879	no available	Homo Sapiens	Kidney	Kidney	65Y	Elderly	Female	Caucasian	Clear cell renal cell carcinoma	no available	cell	KTCTL-140; RCCJF; KTCTL140; RCC-JF	curated
RCC-JW	KTCTL-195	CVCL_5880	no available	Homo Sapiens	Kidney	Kidney	46Y	Adult	Male	Caucasian	Clear cell renal cell carcinoma	no available	cell	KTCTL-195; RCCJW; KTCTL195; RCC-JW	curated
RCC-MF	KTCTL-1M	CVCL_5884	no available	Homo Sapiens	Kidney	Kidney	63Y	Adult	Male	Caucasian	Clear cell renal cell carcinoma	no available	cell	KTCTL-1M; RCCMF; KTCTL1M; RCC-MF	curated
RH-4	Rh4	CVCL_5916	Rh-4 cell	Homo Sapiens	Soft Tissue	Liver	7Y	Children	Female	Caucasian	Alveolar rhabdomyosarcoma	no available	cell	SJ-RH4; SJRH-4; SJ-RH 4; RH-4; SJRH4; RH4	curated
MMAc	MMAc	CVCL_5951	no available	Homo Sapiens	Skin	Ascites	39Y	Adult	Female	Japanese	Melanoma	no available	cell	MMAC	curated
TUHR10TKB	TUHR10TKB	CVCL_5952	TUHR-10TKB cell	Homo Sapiens	Kidney	Kidney	69Y	Elderly	Male	Japanese	Clear cell renal cell carcinoma	no available	cell	TUHR-10TKB; TUHR10TKB CELL; OGTS	curated
THUR14TKB	TUHR14TKB	CVCL_5953	TUHR-14TKB cell	Homo Sapiens	Kidney	Kidney	no available	no available	Male	Japanese	Renal cell carcinoma	no available	cell	TUHR14TKB CELL; TUHR-14TKB; 14T	curated
TUHR4TKB	TUHR4TKB	CVCL_5957	TUHR-4TKB cell	Homo Sapiens	Kidney	Kidney	60Y	Adult	Male	Japanese	Renal cell carcinoma	no available	cell	TUHR4TKB CELL; 4T; 4TUHR; TUHR-4TKB	curated
JHU-011	JHU-011	CVCL_5986	JHU-011 cell	Homo Sapiens	Larynx	Larynx	45Y	Adult	Male	Caucasian	Laryngeal squamous cell carcinoma	no available	cell	JHU-011-SCC; 011; JHU 011; JHU-O11; HNSCC 011; JHU011; JHU-O11 CELL; JOHNS HOPKINS UNIVERSITY-011; O11; 11	curated
JHU-022	JHU-022	CVCL_5991	JHU-022 cell	Homo Sapiens	Larynx	Larynx	53Y	Adult	Male	Caucasian	Laryngeal squamous cell carcinoma	no available	cell	JHU-O22 CELL; JHU-22; JOHNS HOPKINS UNIVERSITY-022; 022; JHU-022-SCC; JHU-O22; JHU022; HNSCC 022; O22	curated
JHU-028	JHU-028	CVCL_5992	JHU-028 cell	Homo Sapiens	Lung	Lung	58Y	Adult	Male	Caucasian	Lung adenocarcinoma	no available	cell	HNSCC 028; JHU 028; JHU028; JHU028 CELL; JOHNS HOPKINS UNIVERSITY-028; SCC028; SCC028 CELL; HNSCC 028 CELL; O28; O28 CELL	curated
JHU-029	JHU-029	CVCL_5993	JHU-029 cell	Homo Sapiens	Larynx	Larynx	70Y	Elderly	Male	African American	Laryngeal squamous cell carcinoma	no available	cell	JHU-O29; HNSCC 029; JOHNS HOPKINS UNIVERSITY-029; JHU-O29 CELL; JHU029; 029	curated
Sarc9371	Sarc9371	CVCL_5G89	no available	Homo Sapiens	Bone	no available	no available	no available	no available	Caucasian	Osteosarcoma	no available	cell	SARC9371	curated
J82-EBV	J82-EBV	CVCL_5H97	no available	Homo Sapiens	Blood	Peripheral blood	58Y	Adult	Male	Caucasian; Swedish	Non-cancerous	no available	cell	J82EBV	curated
SK-MEL-19	SK-MEL-19	CVCL_6025	no available	Homo Sapiens	Skin	no available	50Y	Adult	Male	no available	Cutaneous melanoma	no available	cell	SK-MEL-19; SKMEL19; AL-MEL; SK-MEL19; SKMEL-19; SK MEL19	curated
SK-RC-31	SK-RC-31	CVCL_6186	no available	Homo Sapiens	Kidney	Lung	no available	no available	no available	Caucasian	Renal cell carcinoma	no available	cell	SK RC 31; SKRC31; SKRC-31; SK-RC 31	curated
2B8	2B8 [Human Burkitt lymphoma]	CVCL_6354	no available	Homo Sapiens	Ascites	Ascites	7Y	Children	Male	African; Nigerian	Burkitt lymphoma	B cell	cell	2B8	curated
451Lu	451Lu	CVCL_6357	WM-451Lu cell	Homo Sapiens	Skin	Arm	22Y	Adult	Male	Caucasian	Cutaneous melanoma	no available	cell	WM 451-LU; WM451LU CELL; WM-451LU; WM451LU; LU451; WC00059; 451-LU; WM451; 451LU; WM 451-LU CELL; EST81	curated
WM1552C	WM1552C	CVCL_6472	no available	Homo Sapiens	Skin	Hypodermis	72Y	Elderly	Male	Caucasian	Cutaneous melanoma	no available	cell	WM1552; WM 1552C; EST73; WM-1552; WM-1552C	curated
WM278	WM278	CVCL_6473	WM-278 cell	Homo Sapiens	Skin	Skin	62Y	Adult	Female	Caucasian	Cutaneous melanoma	no available	cell	WM-278; WM 278; WC00054; WM278 CELL	curated
Ishikawa(Heraklio)02ER-	Ishikawa (Heraklio) 02 ER-	CVCL_6543	no available	Homo Sapiens	Endometrium	Endometrium	39Y	Adult	Female	Japanese	Endometrial adenocarcinoma	no available	cell	ISHIKAWAHERAKLIO02ER; ER-02 ISH; ISHIKAWA(HERAKLIO)02ER-	curated
BJ1-hTERT	BJ1-hTERT	CVCL_6573	no available	Homo Sapiens	Skin	Skin; Foreskin	<1M	no available	Male	Caucasian	Non-cancerous	foreskin fibroblast	cell	HTERT BJ; HTERT-BJ; BJ HTERT; BJ-TERT; BJ1; BJ-5TA; BJ-1; BJHTERT; HTERT-BJ1	curated
CHLA-10	CHLA-10	CVCL_6583	no available	Homo Sapiens	Bone	Thoracic lymph duct	14Y	Juvenile	Female	White	Ewing sarcoma	no available	cell	CHLA10	curated
CHLA-15	CHLA-15	CVCL_6594	no available	Homo Sapiens	Peripheral Nervous System	no available	1Y	Infant	Female	no available	Neuroblastoma	no available	cell	CHLA_15; CHLA15	curated
CHLA-20	CHLA-20	CVCL_6602	no available	Homo Sapiens	Peripheral Nervous System	no available	2Y	Infant	Female	no available	Neuroblastoma	no available	cell	CHLA20	curated
II-18	Nov-18	CVCL_6659	no available	Homo Sapiens	Lung	Lung	no available	no available	no available	Japanese	Lung adenocarcinoma	no available	cell	II-18	curated
MC-CAR-Z2	MC/CAR-Z2	CVCL_6671	no available	Homo Sapiens	Blood	Peripheral blood	81Y	Elderly	Male	Caucasian	Non-cancerous	no available	cell	MC-CAR-Z2; MNS-2	curated
TM-31	TM-31	CVCL_6735	no available	Homo Sapiens	Brain	Brain	42Y	Adult	Female	Japanese	Neurofibromatosis type 1	no available	cell	TM31	curated
PK-45H	PK-45H	CVCL_6748	no available	Homo Sapiens	Pancreas	no available	no available	no available	no available	Japanese	Pancreatic carcinoma	no available	cell	PK-45 H; PK45H	curated
PK-45P	PK-45P	CVCL_6749	no available	Homo Sapiens	Pancreas	no available	no available	no available	no available	Japanese	Pancreatic carcinoma	no available	cell	PK-45 P; PK45P	curated
DOV13	DOV13	CVCL_6774	DOV-13 cell	Homo Sapiens	Ovary	Ovary	no available	no available	Female	African American	Ovarian adenocarcinoma	no available	cell	DOV13 CELL; DOV 13; DOV-13	curated
WM-239A	WM239A	CVCL_6795	WM-239 cell	Homo Sapiens	Skin	Lymph node	55Y	Adult	Female	Caucasian	Melanoma	no available	cell	WC00044; WM239; WM 239A; WM-239-A; WM 239; WM 239-A; WM239 CELL; WM-239A; WM-239	curated
WM88	WM88	CVCL_6805	no available	Homo Sapiens	Skin	no available	no available	no available	no available	Caucasian	Melanoma	no available	cell	WM-88; WC00123; WM 88	curated
WM983A	WM983A	CVCL_6808	no available	Homo Sapiens	Skin	Skin	54Y	Adult	no available	Caucasian	Melanoma	no available	cell	WM983-A; WM-983A; WM 983A; WC00048	curated
WM983B	WM983B	CVCL_6809	WM-983/B cell	Homo Sapiens	Skin	Lymph node; Inguinal lymph node	54Y	Adult	no available	Caucasian	Melanoma	no available	cell	WC00066; WM 983B; WM-983B; WM-983/B; WM983-B	curated
H3255	NCI-H3255	CVCL_6831	NCI-H3255 cell	Homo Sapiens	Lung	Pleural effusion	47Y	Adult	Female	Caucasian	Lung adenocarcinoma	no available	cell	NCIH3255; H3255_DA; H3255 CELL; NCI-H3255; H-3255 CELL; H3255; H-3255	curated
HCCLM3	HCCLM3	CVCL_6832	HCCLM-3 cell	Homo Sapiens	no available	no available	39Y	Adult	Male	Chinese	Adult hepatocellular carcinoma	no available	cell	MHCCLM-3 CELL; LM3 CELL; MHCC-LM3; MHCCLM3; LM3; HCCLM-3; HCCLM3 CELL; MHCC-LM3 CELL; HCC-LM3	curated
LN-992	LN-992	CVCL_6845	no available	Homo Sapiens	Brain	Right temporal lobe	67Y	Elderly	Male	Caucasian	Brain astrocytoma	no available	cell	LN 992; LN992	curated
ACCS	ACCS	CVCL_6876	no available	Homo Sapiens	Bladder	Urinary bladder	81Y	Elderly	Female	Caucasian; Swedish	Bladder carcinoma	no available	cell	ACC-S	curated
DiFi	DiFi	CVCL_6895	DiFi cell	Homo Sapiens	Large Intestine	Ascites	46Y	Adult	Female	Caucasian	Colorectal carcinoma; Gardner syndrome	no available	cell	DIFI	curated
SF767	SF767	CVCL_6950	SF-767 cell	Homo Sapiens	Cervix	Omentum	66Y	Elderly	Female	Caucasian	Human papillomavirus-related squamous cell carcinoma	no available	cell	SF 767; SF-767; SF767 CELL	curated
Yamato-SS	Yamato-SS	CVCL_6C44	no available	Homo Sapiens	Soft Tissue	Lung	30Y	Adult	no available	Japanese	Biphasic synovial sarcoma	no available	cell	YAMATO	curated
BB65-EBV	BB65-EBV	CVCL_6F66	no available	Homo Sapiens	Unknown	Peripheral blood	no available	no available	Male	Caucasian	Non-cancerous	no available	cell	BB65EBV	curated
KP-MRT-RY	KP-MRT-RY	CVCL_7051	no available	Homo Sapiens	Kidney	Kidney	1M	no available	Male	Japanese	Rhabdoid tumor of the kidney	no available	cell	KYOTO PEDIATRICS-MALIGNANT RHABDOID TUMOR-RY; KPMRTRY	curated
HK1	NPC/HK1	CVCL_7084	HK-1 cell	Homo Sapiens	Head and Neck	Pharynx; Nasopharynx	58Y	Adult	Male	Chinese	Nasopharyngeal carcinoma	no available	cell	HK-1; HK1	curated
SYO-1	SYO-1	CVCL_7146	no available	Homo Sapiens	Soft Tissue	Groin	19Y	Adult	Female	Japanese	Biphasic synovial sarcoma	no available	cell	SYO1; SYO-I	curated
